2020-04-09 15:25:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	203674.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:25:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	203674.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:26:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	203674.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:26:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	203674.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:26:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	203674.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:26:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	203674.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:27:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	203674.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:27:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	203674.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:27:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	204559.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:27:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	204559.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:28:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	204559.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:28:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	204559.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:28:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	204294.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:28:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199050.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:29:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199050.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:29:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199050.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:29:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199050.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:29:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	191677.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:30:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	191677.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:30:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	191677.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:30:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	191677.0, 	0.531915%, 	0.350000%, 	0.181915%
