2020-04-08 19:41:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034193, 	1.947, 	0.03394291, 	151.76470588, 	0.736796%, 	0.510000%, 	0.226796%
2020-04-08 19:41:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03394268, 	711.07425723, 	0.631417%, 	0.510000%, 	0.121417%
2020-04-08 19:42:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034159, 	59.092, 	0.03394241, 	646.76768453, 	0.638110%, 	0.510000%, 	0.128110%
2020-04-08 19:42:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034163, 	59.085, 	0.03394216, 	151.76470588, 	0.650636%, 	0.510000%, 	0.140636%
2020-04-08 19:42:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034167, 	59.078, 	0.03394192, 	151.76470588, 	0.663133%, 	0.510000%, 	0.153133%
2020-04-08 19:42:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034167, 	59.078, 	0.03390742, 	194.94870588, 	0.765555%, 	0.510000%, 	0.255555%
2020-04-08 19:43:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034168, 	1.947, 	0.03390722, 	428.44602417, 	0.769099%, 	0.510000%, 	0.259099%
2020-04-08 19:43:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034168, 	1.947, 	0.03390698, 	848.75300924, 	0.769812%, 	0.510000%, 	0.259812%
2020-04-08 19:43:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034168, 	1.947, 	0.03390674, 	619.20987255, 	0.770525%, 	0.510000%, 	0.260525%
2020-04-08 19:43:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034171, 	10.351, 	0.03390647, 	151.76470588, 	0.780176%, 	0.510000%, 	0.270176%
2020-04-08 19:44:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034171, 	10.351, 	0.03390627, 	151.76470588, 	0.780770%, 	0.510000%, 	0.270770%
2020-04-08 19:44:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034172, 	1.947, 	0.033906, 	647.05445799, 	0.784522%, 	0.510000%, 	0.274522%
2020-04-08 19:44:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034175, 	9.361, 	0.03390575, 	151.76470588, 	0.794113%, 	0.510000%, 	0.284113%
2020-04-08 19:44:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034174, 	1.947, 	0.03390552, 	670.26055182, 	0.791847%, 	0.510000%, 	0.281847%
2020-04-08 19:45:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034174, 	1.947, 	0.03390531, 	151.76470588, 	0.792472%, 	0.510000%, 	0.282472%
2020-04-08 19:45:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034175, 	9.361, 	0.03390505, 	151.76470588, 	0.796194%, 	0.510000%, 	0.286194%
2020-04-08 19:45:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034175, 	9.361, 	0.03390493, 	194.99770588, 	0.796551%, 	0.510000%, 	0.286551%
2020-04-08 19:45:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03390479, 	194.94270588, 	0.743877%, 	0.510000%, 	0.233877%
2020-04-08 19:46:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03390461, 	43.16, 	0.744412%, 	0.510000%, 	0.234412%
2020-04-08 19:46:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03390461, 	43.16, 	0.744412%, 	0.510000%, 	0.234412%
2020-04-08 19:46:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03387285, 	43.247, 	0.838872%, 	0.510000%, 	0.328872%
2020-04-08 19:46:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03387276, 	151.76470588, 	0.839140%, 	0.510000%, 	0.329140%
2020-04-08 19:47:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03387271, 	195.02370588, 	0.839289%, 	0.510000%, 	0.329289%
2020-04-08 19:47:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03383746, 	43.312, 	0.944338%, 	0.510000%, 	0.434338%
2020-04-08 19:47:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03383744, 	43.31, 	0.944398%, 	0.510000%, 	0.434398%
2020-04-08 19:47:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03383744, 	43.31, 	0.944398%, 	0.510000%, 	0.434398%
2020-04-08 19:48:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03383735, 	381.15511803, 	0.944666%, 	0.510000%, 	0.434666%
2020-04-08 19:48:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03383724, 	424.48664835, 	0.944994%, 	0.510000%, 	0.434994%
2020-04-08 19:48:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03383714, 	475.09164835, 	0.945293%, 	0.510000%, 	0.435293%
2020-04-08 19:48:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03383701, 	475.09164835, 	0.945680%, 	0.510000%, 	0.435680%
2020-04-08 19:49:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03383695, 	522.04868012, 	0.945859%, 	0.510000%, 	0.435859%
2020-04-08 19:49:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.0338368, 	43.284, 	0.946307%, 	0.510000%, 	0.436307%
2020-04-08 19:49:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.0338367, 	43.302, 	0.946605%, 	0.510000%, 	0.436605%
2020-04-08 19:49:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03383659, 	535.62978743, 	0.946933%, 	0.510000%, 	0.436933%
2020-04-08 19:50:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03383645, 	399.52016918, 	0.947351%, 	0.510000%, 	0.437351%
2020-04-08 19:50:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03383634, 	446.45307359, 	0.947679%, 	0.510000%, 	0.437679%
2020-04-08 19:50:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03383624, 	388.59343189, 	0.947978%, 	0.510000%, 	0.437978%
2020-04-08 19:50:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03383616, 	198.89443189, 	0.948216%, 	0.510000%, 	0.438216%
2020-04-08 19:51:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03383608, 	43.262, 	0.948455%, 	0.510000%, 	0.438455%
2020-04-08 19:51:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033863, 	570.47630239, 	0.868204%, 	0.510000%, 	0.358204%
2020-04-08 19:51:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03386291, 	43.248, 	0.868472%, 	0.510000%, 	0.358472%
2020-04-08 19:51:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.0338628, 	43.261, 	0.868800%, 	0.510000%, 	0.358800%
2020-04-08 19:52:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03386266, 	195.05470588, 	0.869217%, 	0.510000%, 	0.359217%
2020-04-08 19:52:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03386242, 	195.04470588, 	0.869932%, 	0.510000%, 	0.359932%
2020-04-08 19:52:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03386223, 	446.49771652, 	0.870498%, 	0.510000%, 	0.360498%
2020-04-08 19:52:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03386203, 	151.76470588, 	0.871094%, 	0.510000%, 	0.361094%
2020-04-08 19:53:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03386186, 	410.81608461, 	0.871600%, 	0.510000%, 	0.361600%
2020-04-08 19:53:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03386187, 	43.27, 	0.871570%, 	0.510000%, 	0.361570%
2020-04-08 19:53:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03386182, 	43.276, 	0.871719%, 	0.510000%, 	0.361719%
2020-04-08 19:53:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03386205, 	43.277, 	0.871034%, 	0.510000%, 	0.361034%
2020-04-08 19:54:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03386168, 	397.22126956, 	0.872136%, 	0.510000%, 	0.362136%
2020-04-08 19:54:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03386167, 	43.248, 	0.872166%, 	0.510000%, 	0.362166%
2020-04-08 19:54:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03386167, 	43.248, 	0.872166%, 	0.510000%, 	0.362166%
