2020-04-08 20:52:39, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	120.011, 	2.66e-05, 	4999.975, 	1.466165%, 	0.450000%, 	1.016165%
2020-04-08 20:52:54, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	120.011, 	2.66e-05, 	4999.975, 	1.466165%, 	0.450000%, 	1.016165%
2020-04-08 20:53:09, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	120.011, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:53:24, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	120.011, 	2.66e-05, 	4999.975, 	1.466165%, 	0.450000%, 	1.016165%
2020-04-08 20:53:39, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	0.82349186, 	2.66e-05, 	4999.975, 	1.466165%, 	0.450000%, 	1.016165%
2020-04-08 20:53:54, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.677e-05, 	4904.90551186, 	2.66e-05, 	4999.975, 	0.639098%, 	0.450000%, 	0.189098%
2020-04-08 20:54:09, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.677e-05, 	4904.90551186, 	2.66e-05, 	4999.975, 	0.639098%, 	0.450000%, 	0.189098%
2020-04-08 20:54:24, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.677e-05, 	4904.90551186, 	2.66e-05, 	4999.975, 	0.639098%, 	0.450000%, 	0.189098%
2020-04-08 20:54:39, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.675e-05, 	4999.9, 	2.66e-05, 	4999.975, 	0.563910%, 	0.450000%, 	0.113910%
2020-04-08 20:54:54, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.675e-05, 	4999.9, 	2.66e-05, 	4999.975, 	0.563910%, 	0.450000%, 	0.113910%
2020-04-08 20:55:09, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.675e-05, 	4999.9, 	2.66e-05, 	4999.975, 	0.563910%, 	0.450000%, 	0.113910%
2020-04-08 20:55:24, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.676e-05, 	46.98252847, 	2.66e-05, 	4999.975, 	0.601504%, 	0.450000%, 	0.151504%
2020-04-08 20:55:39, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.675e-05, 	4999.9, 	2.66e-05, 	4999.975, 	0.563910%, 	0.450000%, 	0.113910%
2020-04-08 20:55:54, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.675e-05, 	4999.9, 	2.66e-05, 	4999.975, 	0.563910%, 	0.450000%, 	0.113910%
2020-04-08 20:56:09, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.675e-05, 	4999.9, 	2.66e-05, 	4999.975, 	0.563910%, 	0.450000%, 	0.113910%
2020-04-08 20:56:24, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.675e-05, 	4999.9, 	2.66e-05, 	4999.975, 	0.563910%, 	0.450000%, 	0.113910%
2020-04-08 20:56:39, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.671e-05, 	3524.72062293, 	2.66e-05, 	4999.975, 	0.413534%, 	0.450000%, 	-0.036466%
