2020-04-08 19:20:16, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.844, 	10.282, 	5.786, 	9.39e-06, 	1.002420%, 	0.760000%, 	0.242420%
2020-04-08 19:20:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.844, 	60.338, 	5.786, 	9.39e-06, 	1.002420%, 	0.760000%, 	0.242420%
2020-04-08 19:20:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.845, 	18.8, 	5.795, 	5.41343656, 	0.862813%, 	0.760000%, 	0.102813%
2020-04-08 19:21:02, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.845, 	27.082, 	5.791, 	135.4652704, 	0.932481%, 	0.760000%, 	0.172481%
2020-04-08 19:21:17, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.846, 	70.599, 	5.793, 	121.36461632, 	0.914897%, 	0.760000%, 	0.154897%
2020-04-08 19:21:32, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.85, 	60.276, 	5.793, 	121.36461632, 	0.983946%, 	0.760000%, 	0.223946%
2020-04-08 19:21:47, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.792, 	131.29100193, 	0.966851%, 	0.760000%, 	0.206851%
2020-04-08 19:22:02, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.791, 	189.68160312, 	0.984286%, 	0.760000%, 	0.224286%
2020-04-08 19:22:17, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.791, 	67.88867439, 	0.984286%, 	0.760000%, 	0.224286%
2020-04-08 19:22:32, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.791, 	193.79545246, 	0.984286%, 	0.760000%, 	0.224286%
2020-04-08 19:22:47, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.791, 	174.88867439, 	0.984286%, 	0.760000%, 	0.224286%
2020-04-08 19:23:02, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.789, 	10.0, 	1.019174%, 	0.760000%, 	0.259174%
2020-04-08 19:23:17, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.791, 	136.15314496, 	0.984286%, 	0.760000%, 	0.224286%
2020-04-08 19:23:32, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.791, 	10.0, 	0.984286%, 	0.760000%, 	0.224286%
2020-04-08 19:23:47, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.791, 	10.0, 	0.984286%, 	0.760000%, 	0.224286%
2020-04-08 19:24:02, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.848, 	10.282, 	5.791, 	10.0, 	0.984286%, 	0.760000%, 	0.224286%
