2020-04-07 21:16:07, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00779001, 	40.52805837, 	0.007539, 	8.9211, 	3.329487%, 	0.240000%, 	3.089487%
2020-04-07 21:16:37, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00778208, 	50.78874283, 	0.007538, 	45.83581108, 	3.237994%, 	0.240000%, 	2.997994%
2020-04-07 21:17:07, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00776906, 	50.24000586, 	0.007537, 	12.80637808, 	3.078944%, 	0.240000%, 	2.838944%
2020-04-07 21:17:37, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00774257, 	39.83527402, 	0.007537, 	48.08933334, 	2.727478%, 	0.240000%, 	2.487478%
2020-04-07 21:41:48, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00777757, 	0.6, 	0.0076, 	67.99091508, 	2.336447%, 	0.240000%, 	2.096447%
2020-04-07 21:42:18, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00778069, 	19.13673903, 	0.0076, 	68.09217408, 	2.377500%, 	0.240000%, 	2.137500%
2020-04-07 21:42:48, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00778131, 	19.13521422, 	0.0076, 	68.09217408, 	2.385658%, 	0.240000%, 	2.145658%
2020-04-07 21:43:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00776735, 	7.21526179, 	0.0076, 	87.58388615, 	2.201974%, 	0.240000%, 	1.961974%
2020-04-07 21:43:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775399, 	7.00000074, 	0.0076, 	88.24693811, 	2.026184%, 	0.240000%, 	1.786184%
2020-04-07 21:44:19, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00774608, 	0.90148685, 	0.0076, 	8.9255, 	1.922105%, 	0.240000%, 	1.682105%
2020-04-07 21:44:49, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00775191, 	90.411202, 	0.0076, 	1.57050429, 	1.998816%, 	0.240000%, 	1.758816%
