2020-04-11 15:09:11, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:09:26, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:09:41, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:09:56, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:09:59, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:10:11, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:10:14, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:10:26, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:10:29, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:10:41, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:10:44, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:10:56, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:10:59, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:11:11, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:11:14, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:11:26, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:11:29, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:11:41, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:11:44, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:11:56, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:11:59, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:12:11, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:12:14, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:12:26, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:12:29, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:12:41, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:12:44, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:12:56, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:12:59, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:13:11, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:13:14, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:13:26, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:13:29, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:13:41, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
