2020-04-08 13:30:33, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.52, 	0.23088, 	0.938390%, 	0.360000%, 	0.578390%
2020-04-08 13:30:48, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.63, 	0.23088, 	0.866585%, 	0.360000%, 	0.506585%
2020-04-08 13:31:03, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.64, 	0.23088, 	0.860062%, 	0.360000%, 	0.500062%
2020-04-08 13:31:18, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.8, 	0.23088, 	0.755814%, 	0.360000%, 	0.395814%
2020-04-08 13:31:33, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.93, 	0.23088, 	0.671271%, 	0.360000%, 	0.311271%
2020-04-08 13:31:48, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.99, 	0.23088, 	0.632299%, 	0.360000%, 	0.272299%
2020-04-08 13:32:03, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.9, 	0.23088, 	0.690768%, 	0.360000%, 	0.330768%
2020-04-08 13:32:18, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.52, 	4.17104, 	154.99, 	0.20801, 	0.341958%, 	0.360000%, 	-0.018042%
2020-04-08 13:53:20, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.82, 	0.60784, 	0.742798%, 	0.360000%, 	0.382798%
2020-04-08 13:53:35, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.81, 	0.60784, 	0.749306%, 	0.360000%, 	0.389306%
2020-04-08 13:53:50, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	155.01, 	0.60784, 	0.619315%, 	0.360000%, 	0.259315%
2020-04-08 13:54:05, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	155.12, 	0.23088, 	0.547963%, 	0.360000%, 	0.187963%
