2020-04-08 19:51:33, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03382191, 	66.37741, 	0.990748%, 	0.350000%, 	0.640748%
2020-04-08 19:51:48, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03381656, 	66.37741, 	1.006726%, 	0.350000%, 	0.656726%
2020-04-08 19:52:03, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03381655, 	97.9308, 	1.006756%, 	0.350000%, 	0.656756%
2020-04-08 19:52:18, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03381782, 	66.37741, 	1.002962%, 	0.350000%, 	0.652962%
2020-04-08 19:52:33, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03380997, 	253.8731752, 	1.026413%, 	0.350000%, 	0.676413%
2020-04-08 19:52:48, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03380405, 	66.37741, 	1.044106%, 	0.350000%, 	0.694106%
2020-04-08 19:53:03, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03380995, 	253.82374219, 	1.026473%, 	0.350000%, 	0.676473%
2020-04-08 19:53:18, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.0338088, 	98.4254, 	1.029909%, 	0.350000%, 	0.679909%
2020-04-08 19:53:33, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.0338088, 	98.4254, 	1.029909%, 	0.350000%, 	0.679909%
2020-04-08 19:53:48, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03380853, 	97.63404, 	1.030716%, 	0.350000%, 	0.680716%
2020-04-08 19:54:03, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03380851, 	97.33728, 	1.030776%, 	0.350000%, 	0.680776%
2020-04-08 19:54:18, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03380849, 	96.9416, 	1.030836%, 	0.350000%, 	0.680836%
2020-04-08 19:54:33, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03385957, 	253.62951843, 	0.878422%, 	0.350000%, 	0.528422%
2020-04-08 19:54:48, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03384119, 	66.37741, 	0.933212%, 	0.350000%, 	0.583212%
2020-04-08 19:55:03, 	Kraken      , 	Poloniex    , 	ETC/ETH, 	0.034157, 	0.351, 	0.03383023, 	66.37741, 	0.965911%, 	0.350000%, 	0.615911%
