2020-04-07 22:43:17, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.656e-05, 	653.25397035, 	0.376506%, 	0.190000%, 	0.186506%
2020-04-07 22:43:47, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.656e-05, 	653.25397035, 	0.376506%, 	0.190000%, 	0.186506%
2020-04-07 22:44:17, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.656e-05, 	653.25397035, 	0.376506%, 	0.190000%, 	0.186506%
2020-04-07 22:44:47, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.656e-05, 	653.25397035, 	0.376506%, 	0.190000%, 	0.186506%
2020-04-07 22:45:17, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.656e-05, 	653.25397035, 	0.376506%, 	0.190000%, 	0.186506%
2020-04-07 22:45:47, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.656e-05, 	653.25397035, 	0.376506%, 	0.190000%, 	0.186506%
2020-04-07 22:46:17, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.656e-05, 	653.25397035, 	0.376506%, 	0.190000%, 	0.186506%
2020-04-07 22:46:47, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.656e-05, 	653.25397035, 	0.376506%, 	0.190000%, 	0.186506%
2020-04-07 22:47:17, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.656e-05, 	653.25397035, 	0.376506%, 	0.190000%, 	0.186506%
2020-04-07 22:47:47, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.656e-05, 	653.25397035, 	0.376506%, 	0.190000%, 	0.186506%
2020-04-07 22:48:17, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.656e-05, 	653.25397035, 	0.376506%, 	0.190000%, 	0.186506%
