2020-04-08 08:16:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:17:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:17:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:18:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:18:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:19:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 08:19:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002366, 	5250.0, 	0.00234, 	8750.0, 	1.111111%, 	0.350000%, 	0.761111%
2020-04-08 08:20:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002366, 	5250.0, 	0.00234, 	8750.0, 	1.111111%, 	0.350000%, 	0.761111%
2020-04-08 08:20:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 08:21:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002366, 	5250.0, 	0.00234, 	8750.0, 	1.111111%, 	0.350000%, 	0.761111%
2020-04-08 08:21:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002366, 	5250.0, 	0.00234, 	8750.0, 	1.111111%, 	0.350000%, 	0.761111%
2020-04-08 08:22:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 08:22:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.00237, 	5250.0, 	0.00234, 	8750.0, 	1.282051%, 	0.350000%, 	0.932051%
2020-04-08 08:23:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002366, 	5250.0, 	0.00234, 	8750.0, 	1.111111%, 	0.350000%, 	0.761111%
2020-04-08 08:47:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:47:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:48:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:48:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:49:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:49:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:50:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:50:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 09:09:19, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:09:49, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:24:51, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002376, 	5250.0, 	0.00234, 	8750.0, 	1.538462%, 	0.350000%, 	1.188462%
2020-04-08 09:35:57, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:36:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:36:27, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:36:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:36:57, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:37:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:37:27, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:37:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:37:57, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:38:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:38:27, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:38:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:38:57, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:39:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:39:27, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:39:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:39:57, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:40:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:40:27, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:40:42, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:40:57, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:41:12, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002374, 	5250.0, 	0.00234, 	8750.0, 	1.452991%, 	0.350000%, 	1.102991%
2020-04-08 09:41:27, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
