2020-04-06 18:45:12 ,134 INFO ,   OPPORTUNITY ,Poloniex     ,OKEX         ,XMR/USDT  ,57.73971359  ,7.0              ,56.5          ,0.2               ,2.194183%   ,0.240000% ,1.954183%
2020-04-06 18:46:06 ,259 INFO ,   OPPORTUNITY ,Bitfinex     ,OKEX         ,XMR/BTC   ,0.008018     ,95.70905         ,0.007844      ,4.75170036        ,2.218256%   ,0.350000% ,1.868256%
2020-04-06 18:48:42 ,040 INFO ,   OPPORTUNITY ,Poloniex     ,OKEX         ,XMR/BTC   ,0.00802053   ,58.5516377       ,0.007844      ,22.75781412       ,2.250510%   ,0.240000% ,2.010510%
2020-04-06 18:50:03 ,530 INFO ,   OPPORTUNITY ,Kraken       ,Binance      ,ETC/BTC   ,0.000777     ,12.48            ,0.0007735     ,132.18            ,0.452489%   ,0.360000% ,0.092489%
2020-04-06 18:51:03 ,463 INFO ,   OPPORTUNITY ,Poloniex     ,OKEX         ,XMR/BTC   ,0.00802052   ,65.05119752      ,0.00785       ,25.78558467       ,2.172229%   ,0.240000% ,1.932229%
2020-04-06 18:51:09 ,294 INFO ,   OPPORTUNITY ,Kraken       ,OKEX         ,ETC/BTC   ,0.000777     ,257.401          ,0.0007728     ,184.684           ,0.543478%   ,0.410000% ,0.133478%
2020-04-06 18:51:48 ,653 INFO ,   OPPORTUNITY ,OKEX         ,Bittrex      ,NXT/BTC   ,1.55e-06     ,11538.46153845   ,1.32e-06      ,17984.44154243    ,17.424242%  ,0.400000% ,17.024242%
2020-04-06 18:53:33 ,170 INFO ,   OPPORTUNITY ,OKEX         ,Bittrex      ,CVT/BTC   ,3.433e-06    ,22202.24020603   ,1.82e-06      ,17446.13938424    ,88.626374%  ,0.400000% ,88.226374%
2020-04-06 18:53:54 ,186 INFO ,   OPPORTUNITY ,OKEX         ,Binance      ,GTO/ETH   ,5.99e-05     ,681.0            ,2.968e-05     ,7813.0            ,101.819407% ,0.250000% ,101.569407%
2020-04-06 18:54:06 ,355 INFO ,   OPPORTUNITY ,Bittrex      ,OKEX         ,HYC/BTC   ,1.8e-07      ,24954.12243339   ,1.75e-07      ,50000.0           ,2.857143%   ,0.400000% ,2.457143%
2020-04-06 18:54:18 ,056 INFO ,   OPPORTUNITY ,Poloniex     ,OKEX         ,XMR/BTC   ,0.00802029   ,0.05658398       ,0.00785       ,28.95640104       ,2.169299%   ,0.240000% ,1.929299%
2020-04-06 18:54:23 ,811 INFO ,   OPPORTUNITY ,Poloniex     ,Binance      ,PAX/USDT  ,1.00132026   ,20.42406797      ,0.9984        ,37.8680542        ,0.292494%   ,0.190000% ,0.102494%
