2020-04-08 19:31:57, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.67e-05, 	504.0, 	1.498127%, 	0.350000%, 	1.148127%
2020-04-08 19:32:12, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.67e-05, 	602.0, 	1.498127%, 	0.350000%, 	1.148127%
2020-04-08 19:32:27, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.67e-05, 	587.0, 	1.498127%, 	0.350000%, 	1.148127%
2020-04-08 19:32:42, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.668e-05, 	25.0, 	1.574213%, 	0.350000%, 	1.224213%
2020-04-08 19:32:57, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.712e-05, 	4999.9, 	2.671e-05, 	534.0, 	1.535006%, 	0.350000%, 	1.185006%
2020-04-08 19:33:12, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.713e-05, 	755.34218425, 	2.671e-05, 	648.0, 	1.572445%, 	0.350000%, 	1.222445%
2020-04-08 19:33:27, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.713e-05, 	755.34218425, 	2.671e-05, 	357.0, 	1.572445%, 	0.350000%, 	1.222445%
2020-04-08 19:33:42, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.713e-05, 	755.34218425, 	2.67e-05, 	1498.0, 	1.610487%, 	0.350000%, 	1.260487%
2020-04-08 19:33:57, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.67e-05, 	36.0, 	1.498127%, 	0.350000%, 	1.148127%
2020-04-08 19:34:12, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.67e-05, 	170.0, 	1.498127%, 	0.350000%, 	1.148127%
2020-04-08 19:34:27, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.67e-05, 	585.0, 	1.498127%, 	0.350000%, 	1.148127%
2020-04-08 19:34:42, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.67e-05, 	677.0, 	1.498127%, 	0.350000%, 	1.148127%
2020-04-08 19:34:57, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.67e-05, 	582.0, 	1.498127%, 	0.350000%, 	1.148127%
2020-04-08 19:35:12, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.712e-05, 	755.89449138, 	2.67e-05, 	20.0, 	1.573034%, 	0.350000%, 	1.223034%
2020-04-08 19:35:27, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.67e-05, 	77.0, 	1.498127%, 	0.350000%, 	1.148127%
2020-04-08 19:35:42, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.67e-05, 	49.0, 	1.498127%, 	0.350000%, 	1.148127%
2020-04-08 19:35:57, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.671e-05, 	5218.0, 	1.460127%, 	0.350000%, 	1.110127%
2020-04-08 19:36:12, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.671e-05, 	5217.0, 	1.460127%, 	0.350000%, 	1.110127%
