2020-04-09 19:07:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:07:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:07:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:07:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:08:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:08:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145, 	977.5790457, 	0.00144399, 	1409.95294015, 	0.416208%, 	0.340000%, 	0.076208%
2020-04-09 19:08:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:08:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:09:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:09:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:09:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:09:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:10:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:10:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:10:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:10:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:11:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:11:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:11:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:11:55, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:12:10, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:12:25, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
2020-04-09 19:12:40, 	Bittrex     , 	Poloniex    , 	SC/USDT, 	0.00145009, 	6446.24942405, 	0.00144399, 	1409.95294015, 	0.422441%, 	0.340000%, 	0.082441%
