2020-04-08 18:04:26, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	425.6935199, 	1.02225, 	451.445, 	0.494008%, 	0.460000%, 	0.034008%
2020-04-08 18:04:41, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	425.6935199, 	1.02225, 	451.445, 	0.494008%, 	0.460000%, 	0.034008%
2020-04-08 18:04:56, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2035.76798166, 	1.02225, 	451.445, 	0.484226%, 	0.460000%, 	0.024226%
2020-04-08 18:05:11, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	503.97385671, 	1.02225, 	451.445, 	0.494008%, 	0.460000%, 	0.034008%
2020-04-08 18:05:26, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2034.72997885, 	1.02225, 	451.445, 	0.484226%, 	0.460000%, 	0.024226%
2020-04-08 18:05:41, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2035.57566344, 	1.02225, 	451.445, 	0.484226%, 	0.460000%, 	0.024226%
2020-04-08 18:05:56, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	503.92802589, 	1.02225, 	451.445, 	0.494008%, 	0.460000%, 	0.034008%
2020-04-08 18:06:11, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	503.92802589, 	1.02225, 	451.445, 	0.494008%, 	0.460000%, 	0.034008%
2020-04-08 18:06:26, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	503.92802589, 	1.02225, 	451.445, 	0.494008%, 	0.460000%, 	0.034008%
2020-04-08 18:06:41, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2035.53091117, 	1.02225, 	451.445, 	0.484226%, 	0.460000%, 	0.024226%
2020-04-08 18:06:56, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	430.8178497, 	1.02225, 	451.445, 	0.494008%, 	0.460000%, 	0.034008%
2020-04-08 18:07:11, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	430.8178497, 	1.02225, 	451.445, 	0.494008%, 	0.460000%, 	0.034008%
2020-04-08 18:07:26, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	430.8178497, 	1.02225, 	451.445, 	0.494008%, 	0.460000%, 	0.034008%
2020-04-08 18:07:41, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	1526.56860445, 	1.02225, 	451.445, 	0.484226%, 	0.460000%, 	0.024226%
2020-04-08 18:07:56, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	430.8178497, 	1.02225, 	451.445, 	0.494008%, 	0.460000%, 	0.034008%
2020-04-08 18:08:11, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0249, 	13.52505694, 	1.02225, 	451.445, 	0.259232%, 	0.460000%, 	-0.200768%
2020-04-08 18:30:48, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02177, 	639.483, 	0.531431%, 	0.460000%, 	0.071431%
2020-04-08 18:31:03, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2.92076817, 	1.02177, 	639.483, 	0.531431%, 	0.460000%, 	0.071431%
