2020-04-09 18:18:47, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.227101, 	6721.599, 	0.36668361, 	0.586929%, 	0.350000%, 	0.236929%
2020-04-09 18:19:02, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.177101, 	6721.399, 	0.36668361, 	0.589922%, 	0.350000%, 	0.239922%
2020-04-09 18:19:17, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.177101, 	6721.299, 	0.36668361, 	0.591418%, 	0.350000%, 	0.241418%
2020-04-09 18:19:32, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.17184, 	6721.2, 	0.683, 	0.592900%, 	0.350000%, 	0.242900%
2020-04-09 18:19:47, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.17184, 	6721.199, 	0.36668361, 	0.592915%, 	0.350000%, 	0.242915%
2020-04-09 18:20:02, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.17184, 	6721.098, 	0.17054853, 	0.594427%, 	0.350000%, 	0.244427%
2020-04-09 18:20:17, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.17184, 	6720.9, 	0.647, 	0.597390%, 	0.350000%, 	0.247390%
2020-04-09 18:20:32, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.17184, 	6720.899, 	0.36668361, 	0.597405%, 	0.350000%, 	0.247405%
2020-04-09 18:20:47, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.17184, 	6720.799, 	0.36668361, 	0.598902%, 	0.350000%, 	0.248902%
2020-04-09 18:21:02, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.17184, 	6720.799, 	0.36668361, 	0.598902%, 	0.350000%, 	0.248902%
2020-04-09 18:21:17, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.17184, 	6720.699, 	0.36668361, 	0.600399%, 	0.350000%, 	0.250399%
2020-04-09 18:21:32, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6763.8, 	0.0651, 	6721.098, 	0.17054853, 	0.635343%, 	0.350000%, 	0.285343%
2020-04-09 18:21:47, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6763.8, 	0.0651, 	6720.999, 	0.17642455, 	0.636825%, 	0.350000%, 	0.286825%
2020-04-09 18:22:02, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6763.8, 	0.0651, 	6720.9, 	0.505, 	0.638307%, 	0.350000%, 	0.288307%
2020-04-09 18:22:17, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6763.8, 	0.0651, 	6720.9, 	0.519, 	0.638307%, 	0.350000%, 	0.288307%
2020-04-09 18:22:32, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6775.6, 	0.00232, 	6720.9, 	0.519, 	0.813879%, 	0.350000%, 	0.463879%
2020-04-09 18:22:47, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6775.6, 	0.00232, 	6720.8, 	0.52, 	0.815379%, 	0.350000%, 	0.465379%
2020-04-09 18:23:02, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6775.6, 	0.00232, 	6720.8, 	0.52, 	0.815379%, 	0.350000%, 	0.465379%
2020-04-09 18:23:17, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6775.6, 	0.00232, 	6720.899, 	0.1811672, 	0.813894%, 	0.350000%, 	0.463894%
2020-04-09 18:23:32, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6775.6, 	0.00232, 	6720.8, 	0.58, 	0.815379%, 	0.350000%, 	0.465379%
2020-04-09 18:23:47, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6775.6, 	0.00232, 	6720.7, 	0.572, 	0.816879%, 	0.350000%, 	0.466879%
2020-04-09 18:24:02, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6775.6, 	0.00232, 	6720.7, 	0.572, 	0.816879%, 	0.350000%, 	0.466879%
2020-04-09 18:24:17, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6775.6, 	0.00232, 	6720.699, 	0.17215879, 	0.816894%, 	0.350000%, 	0.466894%
2020-04-09 18:24:32, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6775.6, 	0.00232, 	6720.5, 	0.594, 	0.819879%, 	0.350000%, 	0.469879%
2020-04-09 18:24:47, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6775.6, 	0.00232, 	6720.4, 	0.643, 	0.821380%, 	0.350000%, 	0.471380%
