2020-04-07 22:04:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6585.0, 	0.000653, 	6545.2, 	0.582157, 	0.608079%, 	0.300000%, 	0.308079%
2020-04-07 22:05:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6585.0, 	0.185707, 	6532.6, 	0.579351, 	0.802131%, 	0.300000%, 	0.502131%
2020-04-07 22:05:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6585.0, 	0.160659, 	6520.7, 	1.08368, 	0.986090%, 	0.300000%, 	0.686090%
2020-04-07 22:06:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6585.0, 	2e-06, 	6521.2, 	1.08368, 	0.978348%, 	0.300000%, 	0.678348%
2020-04-07 22:06:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	1.026745, 	6526.8, 	1.08368, 	0.815101%, 	0.300000%, 	0.515101%
2020-04-07 22:07:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	1.026745, 	6527.9, 	1.08368, 	0.798113%, 	0.300000%, 	0.498113%
2020-04-07 22:07:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	1.026745, 	6527.9, 	1.06993, 	0.798113%, 	0.300000%, 	0.498113%
2020-04-07 22:08:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	1.026745, 	6519.3, 	1.06993, 	0.931082%, 	0.300000%, 	0.631082%
2020-04-07 22:08:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	1.026745, 	6527.9, 	1.068568, 	0.798113%, 	0.300000%, 	0.498113%
2020-04-07 22:09:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	1.026745, 	6527.3, 	1.068568, 	0.807378%, 	0.300000%, 	0.507378%
2020-04-07 22:09:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	1.026745, 	6526.6, 	1.068568, 	0.818190%, 	0.300000%, 	0.518190%
2020-04-07 22:10:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	1.026745, 	6528.2, 	1.068568, 	0.793481%, 	0.300000%, 	0.493481%
2020-04-07 22:10:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	1.026745, 	6536.6, 	1.068568, 	0.663954%, 	0.300000%, 	0.363954%
2020-04-07 22:11:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	1.026745, 	6539.4, 	0.002387, 	0.620852%, 	0.300000%, 	0.320852%
2020-04-07 22:11:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6585.49, 	0.061333, 	6553.0, 	0.026003, 	0.495803%, 	0.300000%, 	0.195803%
2020-04-07 22:12:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6585.49, 	0.061333, 	6551.9, 	0.003, 	0.512676%, 	0.300000%, 	0.212676%
2020-04-07 22:12:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6598.0, 	0.058413, 	6556.3, 	0.026865, 	0.636029%, 	0.300000%, 	0.336029%
2020-04-07 22:13:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6623.07, 	0.002373, 	6563.2, 	0.051629, 	0.912207%, 	0.300000%, 	0.612207%
2020-04-07 22:13:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6636.3, 	2e-06, 	6564.2, 	0.039901, 	1.098382%, 	0.300000%, 	0.798382%
2020-04-07 22:14:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6623.07, 	0.002373, 	6565.2, 	0.020789, 	0.881466%, 	0.300000%, 	0.581466%
2020-04-07 22:14:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6608.66, 	0.058323, 	6564.7, 	0.002379, 	0.669642%, 	0.300000%, 	0.369642%
2020-04-07 22:15:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6614.41, 	0.058273, 	6564.8, 	0.002379, 	0.755697%, 	0.300000%, 	0.455697%
2020-04-07 22:15:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6614.41, 	0.058273, 	6564.8, 	0.002379, 	0.755697%, 	0.300000%, 	0.455697%
2020-04-07 22:16:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6614.41, 	0.058273, 	6570.2, 	0.002379, 	0.672887%, 	0.300000%, 	0.372887%
2020-04-07 22:16:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6614.53, 	0.058272, 	6571.8, 	0.018002, 	0.650202%, 	0.300000%, 	0.350202%
2020-04-07 22:17:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6614.89, 	0.058269, 	6572.1, 	0.0104, 	0.651086%, 	0.300000%, 	0.351086%
2020-04-07 22:17:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6631.0, 	0.333863, 	6565.4, 	0.002373, 	0.999178%, 	0.300000%, 	0.699178%
2020-04-07 22:18:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6631.0, 	0.333863, 	6566.4, 	0.002373, 	0.983796%, 	0.300000%, 	0.683796%
2020-04-07 22:18:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6631.0, 	0.333863, 	6568.2, 	0.002373, 	0.956122%, 	0.300000%, 	0.656122%
2020-04-07 22:19:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6631.0, 	0.333863, 	6567.2, 	0.002373, 	0.971495%, 	0.300000%, 	0.671495%
2020-04-07 22:19:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6631.0, 	0.333863, 	6568.4, 	0.002373, 	0.953048%, 	0.300000%, 	0.653048%
2020-04-07 22:20:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6631.0, 	0.333863, 	6572.1, 	0.002373, 	0.896213%, 	0.300000%, 	0.596213%
2020-04-07 22:20:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6631.0, 	0.333863, 	6573.1, 	0.002373, 	0.880863%, 	0.300000%, 	0.580863%
2020-04-07 22:21:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6631.0, 	0.333863, 	6579.7, 	0.002373, 	0.779671%, 	0.300000%, 	0.479671%
2020-04-07 22:21:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6635.65, 	0.003997, 	6578.7, 	0.066152, 	0.865673%, 	0.300000%, 	0.565673%
2020-04-07 22:22:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6631.0, 	0.333863, 	6578.2, 	0.066152, 	0.802651%, 	0.300000%, 	0.502651%
2020-04-07 22:22:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6631.0, 	0.333863, 	6577.6, 	0.058893, 	0.811846%, 	0.300000%, 	0.511846%
2020-04-07 22:23:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6631.0, 	0.333863, 	6575.4, 	0.058893, 	0.845576%, 	0.300000%, 	0.545576%
2020-04-07 22:23:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6631.0, 	0.333863, 	6575.4, 	0.042598, 	0.845576%, 	0.300000%, 	0.545576%
2020-04-07 22:24:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6631.0, 	0.333863, 	6572.4, 	0.042598, 	0.891607%, 	0.300000%, 	0.591607%
2020-04-07 22:24:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6631.0, 	0.333863, 	6569.3, 	0.042598, 	0.939217%, 	0.300000%, 	0.639217%
2020-04-07 22:25:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6631.0, 	0.333863, 	6568.5, 	0.042598, 	0.951511%, 	0.300000%, 	0.651511%
2020-04-07 22:25:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6631.0, 	0.333863, 	6564.7, 	0.042598, 	1.009947%, 	0.300000%, 	0.709947%
2020-04-07 22:26:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6631.0, 	0.282348, 	6560.0, 	0.030267, 	1.082317%, 	0.300000%, 	0.782317%
2020-04-07 22:26:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6623.07, 	0.002373, 	6555.7, 	5.961541, 	1.027655%, 	0.300000%, 	0.727655%
