2020-04-09 14:20:56, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.287e-05, 	25.39608524, 	7.245e-05, 	400.0, 	0.579710%, 	0.340000%, 	0.239710%
2020-04-09 14:21:11, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.29e-05, 	23.19708708, 	7.243e-05, 	400.0, 	0.648902%, 	0.340000%, 	0.308902%
2020-04-09 14:21:26, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.29e-05, 	23.19708708, 	7.243e-05, 	400.0, 	0.648902%, 	0.340000%, 	0.308902%
2020-04-09 14:21:41, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.29e-05, 	24.40926599, 	7.241e-05, 	400.0, 	0.676702%, 	0.340000%, 	0.336702%
2020-04-09 14:21:56, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.29e-05, 	24.40926599, 	7.24e-05, 	704.10489679, 	0.690608%, 	0.340000%, 	0.350608%
2020-04-09 14:22:11, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.29e-05, 	25.70006971, 	7.238e-05, 	400.0, 	0.718431%, 	0.340000%, 	0.378431%
2020-04-09 14:22:26, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.29e-05, 	25.70006971, 	7.237e-05, 	315.5375871, 	0.732348%, 	0.340000%, 	0.392348%
2020-04-09 14:22:41, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.29e-05, 	22.8944497, 	7.237e-05, 	315.5375871, 	0.732348%, 	0.340000%, 	0.392348%
2020-04-09 14:22:56, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.29e-05, 	22.8944497, 	7.237e-05, 	315.5375871, 	0.732348%, 	0.340000%, 	0.392348%
2020-04-09 14:23:11, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.29e-05, 	24.18178364, 	7.237e-05, 	315.5375871, 	0.732348%, 	0.340000%, 	0.392348%
2020-04-09 14:23:26, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.29e-05, 	25.39608524, 	7.247e-05, 	299.37400658, 	0.593349%, 	0.340000%, 	0.253349%
2020-04-09 14:23:41, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.292e-05, 	22.81881578, 	7.245e-05, 	326.1590946, 	0.648723%, 	0.340000%, 	0.308723%
2020-04-09 14:23:56, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.292e-05, 	23.42417195, 	7.236e-05, 	317.77237565, 	0.773908%, 	0.340000%, 	0.433908%
2020-04-09 14:24:11, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.299e-05, 	24.10597659, 	7.236e-05, 	317.28423027, 	0.870647%, 	0.340000%, 	0.530647%
2020-04-09 14:24:26, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.286e-05, 	39.76652041, 	7.244e-05, 	338.65522585, 	0.579790%, 	0.340000%, 	0.239790%
2020-04-09 14:24:41, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.286e-05, 	39.76652041, 	7.244e-05, 	328.45971016, 	0.579790%, 	0.340000%, 	0.239790%
2020-04-09 14:24:56, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.287e-05, 	23.12141248, 	7.244e-05, 	328.45971016, 	0.593595%, 	0.340000%, 	0.253595%
2020-04-09 14:25:11, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.289e-05, 	23.65134846, 	7.244e-05, 	328.45971016, 	0.621204%, 	0.340000%, 	0.281204%
2020-04-09 14:25:26, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.291e-05, 	24.33342833, 	7.251e-05, 	303.02178145, 	0.551648%, 	0.340000%, 	0.211648%
2020-04-09 14:25:41, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.291e-05, 	24.33342833, 	7.249e-05, 	400.0, 	0.579390%, 	0.340000%, 	0.239390%
2020-04-09 14:25:56, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.291e-05, 	25.548057, 	7.244e-05, 	345.63539438, 	0.648813%, 	0.340000%, 	0.308813%
2020-04-09 14:26:11, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.293e-05, 	22.97009379, 	7.244e-05, 	345.63539438, 	0.676422%, 	0.340000%, 	0.336422%
2020-04-09 14:26:26, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.293e-05, 	22.97009379, 	7.255e-05, 	4.53627964, 	0.523777%, 	0.340000%, 	0.183777%
2020-04-09 14:26:41, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.293e-05, 	24.18178364, 	7.25e-05, 	337.50505951, 	0.593103%, 	0.340000%, 	0.253103%
2020-04-09 14:26:56, 	Bittrex     , 	Poloniex    , 	GRIN/BTC, 	7.293e-05, 	24.18178364, 	7.25e-05, 	337.50505951, 	0.593103%, 	0.340000%, 	0.253103%
