2020-04-10 01:04:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000921, 	4094.18378956, 	0.2838, 	2.708, 	2.187882%, 	0.400000%, 	1.787882%
2020-04-10 01:04:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000921, 	4094.18378956, 	0.2838, 	2.708, 	2.187882%, 	0.400000%, 	1.787882%
2020-04-10 01:05:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000921, 	4094.18378956, 	0.2838, 	2.708, 	2.187882%, 	0.400000%, 	1.787882%
2020-04-10 01:05:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000921, 	4094.18378956, 	0.2838, 	2.708, 	2.187882%, 	0.400000%, 	1.787882%
2020-04-10 01:05:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000921, 	4094.18378956, 	0.2838, 	2.708, 	2.187882%, 	0.400000%, 	1.787882%
2020-04-10 01:05:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000936, 	4094.18211244, 	0.2838, 	2.708, 	2.187935%, 	0.400000%, 	1.787935%
2020-04-10 01:06:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.2900096, 	4094.17942907, 	0.2838, 	2.708, 	2.188020%, 	0.400000%, 	1.788020%
2020-04-10 01:06:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.2900096, 	4094.17942907, 	0.2828, 	98.211, 	2.549364%, 	0.400000%, 	2.149364%
2020-04-10 01:06:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000975, 	4094.17775196, 	0.2828, 	98.211, 	2.549417%, 	0.400000%, 	2.149417%
2020-04-10 01:06:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000975, 	4094.17775196, 	0.2828, 	98.211, 	2.549417%, 	0.400000%, 	2.149417%
2020-04-10 01:07:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001004, 	4094.17450955, 	0.2828, 	98.211, 	2.549519%, 	0.400000%, 	2.149519%
2020-04-10 01:07:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001034, 	4094.17115533, 	0.2828, 	98.211, 	2.549625%, 	0.400000%, 	2.149625%
2020-04-10 01:07:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001034, 	4094.17115533, 	0.2828, 	98.211, 	2.549625%, 	0.400000%, 	2.149625%
2020-04-10 01:07:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001047, 	4094.16970184, 	0.2828, 	98.211, 	2.549671%, 	0.400000%, 	2.149671%
2020-04-10 01:08:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29001047, 	4094.16970184, 	0.2828, 	98.211, 	2.549671%, 	0.400000%, 	2.149671%
