2020-04-09 03:57:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:57:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:57:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:58:08, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:58:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:58:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:58:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:59:08, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:59:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:59:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:59:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:00:08, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:00:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:00:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:00:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:01:08, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:01:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:01:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:01:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:02:08, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:02:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:02:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:02:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:03:08, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.402e-05, 	1669.0, 	0.641940%, 	0.190000%, 	0.451940%
2020-04-09 04:03:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.402e-05, 	1669.0, 	0.641940%, 	0.190000%, 	0.451940%
2020-04-09 04:03:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.402e-05, 	1669.0, 	0.641940%, 	0.190000%, 	0.451940%
2020-04-09 04:03:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.402e-05, 	1669.0, 	0.641940%, 	0.190000%, 	0.451940%
2020-04-09 04:04:08, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.402e-05, 	1669.0, 	0.641940%, 	0.190000%, 	0.451940%
2020-04-09 04:04:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.402e-05, 	1669.0, 	0.641940%, 	0.190000%, 	0.451940%
2020-04-09 04:04:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.402e-05, 	1669.0, 	0.641940%, 	0.190000%, 	0.451940%
2020-04-09 04:04:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.402e-05, 	1669.0, 	0.641940%, 	0.190000%, 	0.451940%
2020-04-09 04:05:08, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.402e-05, 	1669.0, 	0.641940%, 	0.190000%, 	0.451940%
2020-04-09 04:05:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	12.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:05:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	12.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:05:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	12.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:06:08, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	12.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:06:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	12.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:06:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	12.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:06:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	897.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:07:08, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	897.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:07:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:07:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:07:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:08:08, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:08:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	5622.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 04:08:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	897.0, 	0.713776%, 	0.190000%, 	0.523776%
