2020-04-08 08:34:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007828, 	7.734, 	0.007574, 	16.906, 	3.353578%, 	0.410000%, 	2.943578%
2020-04-08 08:34:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007815, 	0.132, 	0.007573, 	16.954, 	3.195563%, 	0.410000%, 	2.785563%
2020-04-08 08:35:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007815, 	0.132, 	0.00757, 	16.968, 	3.236460%, 	0.410000%, 	2.826460%
2020-04-08 08:35:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007815, 	0.132, 	0.00757, 	16.936, 	3.236460%, 	0.410000%, 	2.826460%
2020-04-08 08:36:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007815, 	7.595, 	0.007569, 	16.938, 	3.250099%, 	0.410000%, 	2.840099%
2020-04-08 08:36:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007815, 	0.234, 	0.007568, 	16.935, 	3.263742%, 	0.410000%, 	2.853742%
2020-04-08 08:37:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007815, 	0.234, 	0.007568, 	30.935, 	3.263742%, 	0.410000%, 	2.853742%
2020-04-08 08:37:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007815, 	0.132, 	0.007568, 	23.935, 	3.263742%, 	0.410000%, 	2.853742%
2020-04-08 08:38:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007816, 	0.103, 	0.007566, 	23.978, 	3.304256%, 	0.410000%, 	2.894256%
2020-04-08 08:38:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007816, 	0.103, 	0.007566, 	195.471, 	3.304256%, 	0.410000%, 	2.894256%
2020-04-08 08:39:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007817, 	7.362, 	0.007566, 	16.957, 	3.317473%, 	0.410000%, 	2.907473%
2020-04-08 08:39:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007815, 	0.132, 	0.007566, 	212.415, 	3.291039%, 	0.410000%, 	2.881039%
2020-04-08 08:40:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007826, 	0.103, 	0.007566, 	16.936, 	3.436426%, 	0.410000%, 	3.026426%
2020-04-08 08:40:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007826, 	0.103, 	0.007565, 	195.471, 	3.450099%, 	0.410000%, 	3.040099%
2020-04-08 08:41:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007823, 	24.296, 	0.007565, 	16.934, 	3.410443%, 	0.410000%, 	3.000443%
2020-04-08 08:41:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.00782, 	7.253, 	0.007563, 	16.923, 	3.398122%, 	0.410000%, 	2.988122%
