2020-04-10 02:19:24, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	29100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:19:39, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	5100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:19:54, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	5100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:20:09, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	5100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:20:24, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	1500.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:20:39, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	1500.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:20:54, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	1500.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:21:09, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	29100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:21:24, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	29100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:21:39, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	29100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:21:54, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:22:09, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
2020-04-10 02:22:24, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.333e-06, 	24000.0, 	0.300043%, 	0.240000%, 	0.060043%
