2020-04-08 18:54:45, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.379, 	129.3, 	5.334, 	209.4, 	0.843645%, 	0.760000%, 	0.083645%
2020-04-08 18:55:00, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.379, 	129.3, 	5.334, 	157.11, 	0.843645%, 	0.760000%, 	0.083645%
2020-04-08 18:55:15, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.379, 	129.3, 	5.332, 	77.11, 	0.881470%, 	0.760000%, 	0.121470%
2020-04-08 18:55:30, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.379, 	129.3, 	5.337, 	132.29, 	0.786959%, 	0.760000%, 	0.026959%
2020-04-08 18:55:45, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.382, 	598.0, 	5.332, 	77.11, 	0.937734%, 	0.760000%, 	0.177734%
2020-04-08 18:56:00, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.373, 	562.739, 	5.33, 	80.0, 	0.806754%, 	0.760000%, 	0.046754%
2020-04-08 18:56:15, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.376, 	598.0, 	5.33, 	103.80776128, 	0.863039%, 	0.760000%, 	0.103039%
2020-04-08 18:56:30, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.378, 	620.4, 	5.33, 	105.79608217, 	0.900563%, 	0.760000%, 	0.140563%
2020-04-08 18:56:45, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.377, 	21.5, 	5.33, 	105.79608217, 	0.881801%, 	0.760000%, 	0.121801%
2020-04-08 18:57:00, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.377, 	598.0, 	5.33, 	105.79608217, 	0.881801%, 	0.760000%, 	0.121801%
2020-04-08 18:57:15, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.38, 	598.0, 	5.33, 	105.79608217, 	0.938086%, 	0.760000%, 	0.178086%
2020-04-08 18:57:30, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.382, 	596.0, 	5.33, 	105.79608217, 	0.975610%, 	0.760000%, 	0.215610%
2020-04-08 18:57:45, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.383, 	440.539, 	5.32, 	4.9928871, 	1.184211%, 	0.760000%, 	0.424211%
2020-04-08 18:58:00, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.376, 	6594.0, 	5.32, 	4.9928871, 	1.052632%, 	0.760000%, 	0.292632%
2020-04-08 18:58:15, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.378, 	6694.0, 	5.32, 	4.9928871, 	1.090226%, 	0.760000%, 	0.330226%
2020-04-08 18:58:30, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.381, 	6594.0, 	5.32, 	4.9928871, 	1.146617%, 	0.760000%, 	0.386617%
2020-04-08 18:58:45, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.381, 	6694.0, 	5.33, 	157.11, 	0.956848%, 	0.760000%, 	0.196848%
2020-04-08 18:59:00, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.383, 	6594.0, 	5.331, 	80.0, 	0.975427%, 	0.760000%, 	0.215427%
2020-04-08 18:59:15, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.385, 	6620.8, 	5.331, 	80.0, 	1.012943%, 	0.760000%, 	0.252943%
2020-04-08 18:59:30, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.387, 	6594.0, 	5.331, 	157.11, 	1.050460%, 	0.760000%, 	0.290460%
2020-04-08 18:59:45, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.411, 	538.806, 	5.33, 	80.0, 	1.519700%, 	0.760000%, 	0.759700%
2020-04-08 19:00:00, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.393, 	6594.0, 	5.33, 	77.11, 	1.181989%, 	0.760000%, 	0.421989%
2020-04-08 19:00:15, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.381, 	598.0, 	5.331, 	80.0, 	0.937910%, 	0.760000%, 	0.177910%
2020-04-08 19:00:30, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.376, 	100.0, 	5.331, 	80.0, 	0.844119%, 	0.760000%, 	0.084119%
2020-04-08 19:00:45, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.378, 	440.539, 	5.33, 	80.0, 	0.900563%, 	0.760000%, 	0.140563%
2020-04-08 19:01:00, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.383, 	440.539, 	5.331, 	80.0, 	0.975427%, 	0.760000%, 	0.215427%
2020-04-08 19:01:15, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.382, 	598.0, 	5.331, 	80.0, 	0.956669%, 	0.760000%, 	0.196669%
2020-04-08 19:01:30, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.384, 	578.169, 	5.331, 	80.0, 	0.994185%, 	0.760000%, 	0.234185%
2020-04-08 19:01:45, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.386, 	624.5, 	5.331, 	60.0, 	1.031701%, 	0.760000%, 	0.271701%
2020-04-08 19:02:00, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.388, 	598.0, 	5.331, 	60.0, 	1.069218%, 	0.760000%, 	0.309218%
2020-04-08 19:02:15, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.39, 	598.0, 	5.331, 	60.0, 	1.106734%, 	0.760000%, 	0.346734%
2020-04-08 19:02:30, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.384, 	440.539, 	5.331, 	111.789, 	0.994185%, 	0.760000%, 	0.234185%
2020-04-08 19:02:45, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.378, 	1038.539, 	5.329, 	41.53946198, 	0.919497%, 	0.760000%, 	0.159497%
2020-04-08 19:03:00, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.38, 	440.539, 	5.329, 	267.53946198, 	0.957028%, 	0.760000%, 	0.197028%
2020-04-08 19:03:15, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.381, 	598.0, 	5.326, 	196.0, 	1.032670%, 	0.760000%, 	0.272670%
2020-04-08 19:03:30, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.374, 	434.827, 	5.325, 	157.11, 	0.920188%, 	0.760000%, 	0.160188%
2020-04-08 19:03:45, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.376, 	434.827, 	5.325, 	80.0, 	0.957746%, 	0.760000%, 	0.197746%
2020-04-08 19:04:00, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.381, 	598.0, 	5.323, 	80.0, 	1.089611%, 	0.760000%, 	0.329611%
2020-04-08 19:04:15, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.382, 	458.427, 	5.324, 	80.0, 	1.089406%, 	0.760000%, 	0.329406%
2020-04-08 19:04:30, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.383, 	1032.827, 	5.325, 	80.0, 	1.089202%, 	0.760000%, 	0.329202%
2020-04-08 19:04:45, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.383, 	598.0, 	5.324, 	80.0, 	1.108189%, 	0.760000%, 	0.348189%
2020-04-08 19:05:00, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.383, 	598.0, 	5.324, 	80.0, 	1.108189%, 	0.760000%, 	0.348189%
2020-04-08 19:05:15, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.393, 	538.806, 	5.321, 	80.0, 	1.353129%, 	0.760000%, 	0.593129%
2020-04-08 19:05:30, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.395, 	923.0, 	5.32, 	80.0, 	1.409774%, 	0.760000%, 	0.649774%
2020-04-08 19:05:45, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.389, 	598.0, 	5.32, 	372.289, 	1.296992%, 	0.760000%, 	0.536992%
2020-04-08 19:06:00, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.389, 	598.0, 	5.32, 	240.0, 	1.296992%, 	0.760000%, 	0.536992%
2020-04-08 19:06:15, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.377, 	22.6, 	5.321, 	80.0, 	1.052434%, 	0.760000%, 	0.292434%
2020-04-08 19:06:30, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.388, 	6.0, 	5.325, 	80.0, 	1.183099%, 	0.760000%, 	0.423099%
2020-04-08 19:06:45, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.388, 	6.0, 	5.319, 	211.16597662, 	1.297236%, 	0.760000%, 	0.537236%
2020-04-08 19:07:00, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.388, 	6.0, 	5.325, 	132.289, 	1.183099%, 	0.760000%, 	0.423099%
2020-04-08 19:07:15, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.388, 	6.0, 	5.323, 	80.0, 	1.221116%, 	0.760000%, 	0.461116%
2020-04-08 19:07:30, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.388, 	6.0, 	5.321, 	292.289, 	1.259162%, 	0.760000%, 	0.499162%
2020-04-08 19:07:45, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.388, 	6.0, 	5.321, 	80.0, 	1.259162%, 	0.760000%, 	0.499162%
2020-04-08 19:08:00, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.388, 	6.0, 	5.324, 	80.0, 	1.202104%, 	0.760000%, 	0.442104%
2020-04-08 19:08:15, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.388, 	6.0, 	5.323, 	132.289, 	1.221116%, 	0.760000%, 	0.461116%
