2020-04-08 15:08:11, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18149, 	182.0, 	0.556504%, 	0.360000%, 	0.196504%
2020-04-08 15:08:26, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18146, 	182.0, 	0.573129%, 	0.360000%, 	0.213129%
2020-04-08 15:08:41, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18149, 	182.0, 	0.556504%, 	0.360000%, 	0.196504%
2020-04-08 15:08:56, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18148, 	182.0, 	0.562045%, 	0.360000%, 	0.202045%
2020-04-08 15:09:11, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18141, 	182.0, 	0.600849%, 	0.360000%, 	0.240849%
2020-04-08 15:09:26, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18131, 	182.0, 	0.656334%, 	0.360000%, 	0.296334%
2020-04-08 15:09:41, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.1814, 	182.0, 	0.606395%, 	0.360000%, 	0.246395%
2020-04-08 15:09:56, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18144, 	182.0, 	0.584215%, 	0.360000%, 	0.224215%
2020-04-08 15:10:11, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.1815, 	182.0, 	0.550964%, 	0.360000%, 	0.190964%
2020-04-08 15:10:26, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.1815, 	182.0, 	0.550964%, 	0.360000%, 	0.190964%
2020-04-08 15:10:41, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18177, 	182.0, 	0.401606%, 	0.360000%, 	0.041606%
2020-04-08 15:10:56, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18162, 	182.0, 	0.484528%, 	0.360000%, 	0.124528%
2020-04-08 15:11:11, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18173, 	182.0, 	0.423705%, 	0.360000%, 	0.063705%
2020-04-08 15:11:26, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18156, 	182.0, 	0.517735%, 	0.360000%, 	0.157735%
2020-04-08 15:11:41, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18154, 	182.0, 	0.528809%, 	0.360000%, 	0.168809%
2020-04-08 15:11:56, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.1816, 	182.0, 	0.495595%, 	0.360000%, 	0.135595%
2020-04-08 15:12:11, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18157, 	182.0, 	0.512199%, 	0.360000%, 	0.152199%
