2020-04-08 18:44:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079263, 	99.876, 	0.929816%, 	0.510000%, 	0.419816%
2020-04-08 18:45:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079261, 	99.857, 	0.932363%, 	0.510000%, 	0.422363%
2020-04-08 18:45:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079258, 	153.04018014, 	0.936183%, 	0.510000%, 	0.426183%
2020-04-08 18:45:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079257, 	99.855, 	0.937457%, 	0.510000%, 	0.427457%
2020-04-08 18:45:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079257, 	99.855, 	0.937457%, 	0.510000%, 	0.427457%
2020-04-08 18:46:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	30.061, 	0.00079257, 	99.855, 	0.937457%, 	0.510000%, 	0.427457%
2020-04-08 18:46:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079257, 	99.855, 	0.937457%, 	0.510000%, 	0.427457%
2020-04-08 18:46:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	59.425, 	0.00079257, 	99.855, 	0.937457%, 	0.510000%, 	0.427457%
2020-04-08 18:46:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	59.425, 	0.00079257, 	99.855, 	0.937457%, 	0.510000%, 	0.427457%
2020-04-08 18:47:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079257, 	99.855, 	0.937457%, 	0.510000%, 	0.427457%
2020-04-08 18:47:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079257, 	99.855, 	0.937457%, 	0.510000%, 	0.427457%
2020-04-08 18:47:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	89.725, 	0.00079257, 	99.855, 	0.937457%, 	0.510000%, 	0.427457%
2020-04-08 18:47:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	89.725, 	0.00079257, 	91.25764828, 	0.937457%, 	0.510000%, 	0.427457%
2020-04-08 18:48:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	89.725, 	0.00079336, 	99.979, 	0.836947%, 	0.510000%, 	0.326947%
2020-04-08 18:48:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000801, 	58.391, 	0.0007933, 	100.088, 	0.970629%, 	0.510000%, 	0.460629%
2020-04-08 18:48:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000801, 	10.231, 	0.00079314, 	334.9177458, 	0.990998%, 	0.510000%, 	0.480998%
2020-04-08 18:48:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000801, 	10.231, 	0.00079263, 	985.30296, 	1.055978%, 	0.510000%, 	0.545978%
2020-04-08 18:49:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000801, 	10.231, 	0.00079239, 	100.256, 	1.086586%, 	0.510000%, 	0.576586%
2020-04-08 18:49:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079224, 	80.0, 	0.979501%, 	0.510000%, 	0.469501%
2020-04-08 18:49:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079149, 	100.286, 	1.075187%, 	0.510000%, 	0.565187%
2020-04-08 18:49:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079137, 	100.281, 	1.090514%, 	0.510000%, 	0.580514%
2020-04-08 18:50:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000798, 	85.31, 	0.00079137, 	100.281, 	0.837788%, 	0.510000%, 	0.327788%
2020-04-08 18:50:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000798, 	84.61, 	0.00079194, 	286.131619, 	0.765209%, 	0.510000%, 	0.255209%
2020-04-08 18:50:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000798, 	84.61, 	0.00079191, 	100.19, 	0.769027%, 	0.510000%, 	0.259027%
2020-04-08 18:50:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000798, 	84.61, 	0.00079184, 	100.137, 	0.777935%, 	0.510000%, 	0.267935%
2020-04-08 18:51:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000798, 	84.61, 	0.00079184, 	100.137, 	0.777935%, 	0.510000%, 	0.267935%
2020-04-08 18:51:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000798, 	84.31, 	0.0007918, 	100.145, 	0.783026%, 	0.510000%, 	0.273026%
2020-04-08 18:51:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	58.684, 	0.00079167, 	100.16, 	0.673260%, 	0.510000%, 	0.163260%
2020-04-08 18:51:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	88.884, 	0.00079155, 	100.186, 	0.688523%, 	0.510000%, 	0.178523%
2020-04-08 18:52:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	88.284, 	0.00079142, 	100.216, 	0.705062%, 	0.510000%, 	0.195062%
2020-04-08 18:52:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000797, 	81.184, 	0.00079131, 	100.328, 	0.719061%, 	0.510000%, 	0.209061%
