2020-04-10 08:27:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.753e-07, 	56155.0, 	0.988849%, 	0.350000%, 	0.638849%
2020-04-10 08:27:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.753e-07, 	53055.0, 	0.988849%, 	0.350000%, 	0.638849%
2020-04-10 08:27:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.753e-07, 	299000.0, 	0.988849%, 	0.350000%, 	0.638849%
2020-04-10 08:27:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.753e-07, 	515493.24, 	0.988849%, 	0.350000%, 	0.638849%
2020-04-10 08:28:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.753e-07, 	515493.24, 	0.988849%, 	0.350000%, 	0.638849%
2020-04-10 08:28:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.744e-07, 	183290.61, 	1.180438%, 	0.350000%, 	0.830438%
2020-04-10 08:28:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.742e-07, 	4100.0, 	1.223113%, 	0.350000%, 	0.873113%
2020-04-10 08:28:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.738e-07, 	76599.57, 	1.308569%, 	0.350000%, 	0.958569%
2020-04-10 08:29:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.737e-07, 	342100.0, 	1.329956%, 	0.350000%, 	0.979956%
2020-04-10 08:29:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.737e-07, 	342100.0, 	1.329956%, 	0.350000%, 	0.979956%
2020-04-10 08:29:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.739e-07, 	20055.0, 	1.287191%, 	0.350000%, 	0.937191%
2020-04-10 08:29:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.739e-07, 	4100.0, 	1.287191%, 	0.350000%, 	0.937191%
2020-04-10 08:30:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.739e-07, 	20200.0, 	1.287191%, 	0.350000%, 	0.937191%
2020-04-10 08:30:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.737e-07, 	16100.0, 	1.329956%, 	0.350000%, 	0.979956%
