2020-04-08 17:35:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.597e-05, 	36.0, 	1.890464%, 	0.350000%, 	1.540464%
2020-04-08 17:35:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.597e-05, 	35.0, 	1.890464%, 	0.350000%, 	1.540464%
2020-04-08 17:35:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.597e-05, 	35.0, 	1.890464%, 	0.350000%, 	1.540464%
2020-04-08 17:36:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.594e-05, 	4289.0, 	1.975515%, 	0.350000%, 	1.625515%
2020-04-08 17:36:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.592e-05, 	832.0, 	2.032294%, 	0.350000%, 	1.682294%
2020-04-08 17:36:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.592e-05, 	832.0, 	2.032294%, 	0.350000%, 	1.682294%
2020-04-08 17:36:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.595e-05, 	542.0, 	1.947149%, 	0.350000%, 	1.597149%
2020-04-08 17:37:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.595e-05, 	542.0, 	1.947149%, 	0.350000%, 	1.597149%
2020-04-08 17:37:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.595e-05, 	542.0, 	1.947149%, 	0.350000%, 	1.597149%
2020-04-08 17:37:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.595e-05, 	542.0, 	1.947149%, 	0.350000%, 	1.597149%
2020-04-08 17:37:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.595e-05, 	385.0, 	1.947149%, 	0.350000%, 	1.597149%
2020-04-08 17:38:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	28.04771829, 	3.595e-05, 	385.0, 	2.002782%, 	0.350000%, 	1.652782%
2020-04-08 17:38:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.76351803, 	3.595e-05, 	385.0, 	2.002782%, 	0.350000%, 	1.652782%
2020-04-08 17:38:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.595e-05, 	385.0, 	1.947149%, 	0.350000%, 	1.597149%
2020-04-08 17:38:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.595e-05, 	385.0, 	1.947149%, 	0.350000%, 	1.597149%
2020-04-08 17:39:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.595e-05, 	385.0, 	1.947149%, 	0.350000%, 	1.597149%
2020-04-08 17:39:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.595e-05, 	385.0, 	1.947149%, 	0.350000%, 	1.597149%
2020-04-08 17:39:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.595e-05, 	686.0, 	1.947149%, 	0.350000%, 	1.597149%
2020-04-08 17:39:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.593e-05, 	322.0, 	2.003896%, 	0.350000%, 	1.653896%
2020-04-08 17:40:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.593e-05, 	375.0, 	2.003896%, 	0.350000%, 	1.653896%
2020-04-08 17:40:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.593e-05, 	375.0, 	2.003896%, 	0.350000%, 	1.653896%
2020-04-08 17:40:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.593e-05, 	375.0, 	2.003896%, 	0.350000%, 	1.653896%
2020-04-08 17:40:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.593e-05, 	375.0, 	2.003896%, 	0.350000%, 	1.653896%
2020-04-08 17:41:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.593e-05, 	375.0, 	2.003896%, 	0.350000%, 	1.653896%
2020-04-08 17:41:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.593e-05, 	375.0, 	2.003896%, 	0.350000%, 	1.653896%
2020-04-08 17:41:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.666e-05, 	27.62147397, 	3.593e-05, 	375.0, 	2.031728%, 	0.350000%, 	1.681728%
2020-04-08 17:41:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.593e-05, 	375.0, 	2.003896%, 	0.350000%, 	1.653896%
2020-04-08 17:42:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.666e-05, 	27.62147397, 	3.593e-05, 	686.0, 	2.031728%, 	0.350000%, 	1.681728%
2020-04-08 17:42:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.669e-05, 	27.76351803, 	3.593e-05, 	375.0, 	2.115224%, 	0.350000%, 	1.765224%
2020-04-08 17:42:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.672e-05, 	27.76351803, 	3.594e-05, 	3384.0, 	2.170284%, 	0.350000%, 	1.820284%
2020-04-08 17:42:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.668e-05, 	27.76351803, 	3.594e-05, 	3384.0, 	2.058987%, 	0.350000%, 	1.708987%
2020-04-08 17:43:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.666e-05, 	27.62147397, 	3.594e-05, 	3384.0, 	2.003339%, 	0.350000%, 	1.653339%
2020-04-08 17:43:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.668e-05, 	27.76351803, 	3.594e-05, 	3384.0, 	2.058987%, 	0.350000%, 	1.708987%
2020-04-08 17:43:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.668e-05, 	27.33749795, 	3.594e-05, 	3384.0, 	2.058987%, 	0.350000%, 	1.708987%
2020-04-08 17:43:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.668e-05, 	27.33749795, 	3.594e-05, 	3384.0, 	2.058987%, 	0.350000%, 	1.708987%
2020-04-08 17:44:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.668e-05, 	27.33749795, 	3.596e-05, 	56.0, 	2.002225%, 	0.350000%, 	1.652225%
2020-04-08 17:44:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.668e-05, 	27.33749795, 	3.593e-05, 	1500.0, 	2.087392%, 	0.350000%, 	1.737392%
2020-04-08 17:44:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.668e-05, 	27.33749795, 	3.593e-05, 	1500.0, 	2.087392%, 	0.350000%, 	1.737392%
2020-04-08 17:44:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.668e-05, 	27.33749795, 	3.593e-05, 	1500.0, 	2.087392%, 	0.350000%, 	1.737392%
