2020-04-09 14:01:55, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:02:10, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:02:25, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:02:40, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	5377767.0, 	1.7e-06, 	1545.4129266, 	0.000000%, 	0.350000%, 	-0.350000%
2020-04-09 14:05:50, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	24650.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:06:05, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	24650.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:06:20, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	24650.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:06:35, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	24650.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:06:50, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	24650.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:07:05, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	24650.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:07:20, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	24650.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:07:35, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	24650.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:07:50, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:08:05, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:08:20, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:08:35, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:08:50, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:09:05, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:09:20, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:09:35, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:09:50, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:10:05, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:10:20, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:10:35, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:10:50, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:11:05, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:11:20, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:11:35, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:11:50, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:12:05, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:12:20, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:12:35, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:12:50, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:13:05, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:13:20, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:13:35, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:13:50, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:14:05, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23551.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:14:20, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:14:36, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:14:51, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:15:06, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:15:21, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:15:36, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:15:51, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:16:06, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:16:21, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:16:36, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:16:51, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:17:06, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:17:21, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:17:36, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:17:51, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:18:06, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:18:21, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:18:36, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:18:51, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:19:06, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	23610.0, 	1.7e-06, 	437.9570976, 	0.588235%, 	0.350000%, 	0.238235%
