2020-04-07 23:01:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.82088629, 	4.468, 	54.53, 	103.31664417, 	2.367296%, 	0.400000%, 	1.967296%
2020-04-07 23:01:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.82088629, 	4.468, 	54.53, 	96.109444, 	2.367296%, 	0.400000%, 	1.967296%
2020-04-07 23:02:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.75488473, 	33.6103079, 	54.53, 	6.0, 	2.246258%, 	0.400000%, 	1.846258%
2020-04-07 23:02:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.75488473, 	90.4475619, 	54.53, 	96.502932, 	2.246258%, 	0.400000%, 	1.846258%
2020-04-07 23:03:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.75488479, 	94.75129569, 	54.53, 	96.306188, 	2.246259%, 	0.400000%, 	1.846259%
2020-04-07 23:03:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.75488481, 	27.6761369, 	54.53, 	6.0, 	2.246259%, 	0.400000%, 	1.846259%
2020-04-07 23:04:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.71229104, 	70.24169959, 	54.53, 	97.585024, 	2.168148%, 	0.400000%, 	1.768148%
2020-04-07 23:04:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.71229128, 	89.20888732, 	54.53, 	96.798048, 	2.168148%, 	0.400000%, 	1.768148%
2020-04-07 23:05:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.71229128, 	89.20888732, 	54.53, 	98.175256, 	2.168148%, 	0.400000%, 	1.768148%
2020-04-07 23:05:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.712291, 	23.2666323, 	54.53, 	102.601304, 	2.168148%, 	0.400000%, 	1.768148%
2020-04-07 23:06:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.64423705, 	45.5451463, 	54.53, 	103.21827217, 	2.043347%, 	0.400000%, 	1.643347%
2020-04-07 23:06:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.6442371, 	98.273628, 	54.53, 	6.0, 	2.043347%, 	0.400000%, 	1.643347%
2020-04-07 23:07:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.6442372, 	98.19839074, 	54.53, 	97.585024, 	2.043347%, 	0.400000%, 	1.643347%
2020-04-07 23:07:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.64423729, 	4.476, 	54.53, 	97.38828, 	2.043347%, 	0.400000%, 	1.643347%
2020-04-07 23:08:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.74544576, 	62.0, 	54.53, 	1.8, 	2.228949%, 	0.400000%, 	1.828949%
2020-04-07 23:08:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.7939734, 	103.11132349, 	54.53, 	96.89642, 	2.317941%, 	0.400000%, 	1.917941%
