2020-04-10 10:33:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	102100.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:33:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	102100.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:34:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	102144.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:34:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	82279.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:34:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	79000.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:34:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	79000.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:35:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	79000.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:35:29, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	78925.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:35:44, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	78925.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:35:59, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.32e-06, 	79107.0, 	1.724138%, 	0.190000%, 	1.534138%
2020-04-10 10:36:14, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.31e-06, 	248.90689532, 	2.32e-06, 	79107.0, 	-0.431034%, 	0.190000%, 	-0.621034%
2020-04-11 15:28:52, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.29e-06, 	0.79380514, 	2.28e-06, 	2448.0, 	0.438596%, 	0.190000%, 	0.248596%
2020-04-11 15:29:07, 	Poloniex    , 	Binance     , 	SNT/BTC, 	2.29e-06, 	0.79380514, 	2.29e-06, 	354640.0, 	0.000000%, 	0.190000%, 	-0.190000%
