2020-04-10 10:20:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:21:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:21:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:21:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:21:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:22:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:22:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:22:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:22:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:23:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:23:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:23:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:23:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:24:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	33748.218, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:24:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44439.988, 	1.287554%, 	0.290000%, 	0.997554%
