2020-04-10 16:54:42, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:54:57, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:55:12, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:55:27, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:55:42, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:55:57, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:56:12, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:56:27, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:56:42, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	0.16749409, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:56:57, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00174, 	10.91016677, 	-0.229885%, 	0.240000%, 	-0.469885%
