2020-04-10 02:24:04, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:24:19, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:24:34, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:24:49, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:25:04, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:25:19, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:25:34, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:25:49, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:26:04, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:26:19, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:26:34, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
