2020-04-08 18:35:13, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	61.567, 	0.00079301, 	216.0799549, 	0.881452%, 	0.350000%, 	0.531452%
2020-04-08 18:35:28, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	22.261, 	0.00079297, 	98.02972, 	0.886540%, 	0.350000%, 	0.536540%
2020-04-08 18:35:43, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	22.261, 	0.00079297, 	98.02972, 	0.886540%, 	0.350000%, 	0.536540%
2020-04-08 18:35:58, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	22.261, 	0.00079348, 	80.0, 	0.821697%, 	0.350000%, 	0.471697%
2020-04-08 18:36:13, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	22.261, 	0.0007931, 	132.45751, 	0.870004%, 	0.350000%, 	0.520004%
2020-04-08 18:36:28, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	80.725, 	0.00079295, 	132.45751, 	0.889085%, 	0.350000%, 	0.539085%
2020-04-08 18:36:43, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	80.725, 	0.00079282, 	97.04052, 	0.905628%, 	0.350000%, 	0.555628%
2020-04-08 18:36:58, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	59.425, 	0.00079264, 	96.74376, 	0.928543%, 	0.350000%, 	0.578543%
2020-04-08 18:37:13, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	9.167, 	0.0007926, 	72.3797, 	0.933636%, 	0.350000%, 	0.583636%
2020-04-08 18:37:28, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079254, 	132.45751, 	0.941277%, 	0.350000%, 	0.591277%
2020-04-08 18:37:43, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079251, 	97.23836, 	0.945098%, 	0.350000%, 	0.595098%
2020-04-08 18:37:58, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	31.061, 	0.00079266, 	96.84268, 	0.925996%, 	0.350000%, 	0.575996%
2020-04-08 18:38:13, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	26.967, 	0.00079264, 	97.63404, 	0.928543%, 	0.350000%, 	0.578543%
2020-04-08 18:38:28, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079256, 	97.13944, 	0.938730%, 	0.350000%, 	0.588730%
2020-04-08 18:38:43, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079263, 	171.97640288, 	0.929816%, 	0.350000%, 	0.579816%
2020-04-08 18:38:58, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079262, 	97.83188, 	0.931089%, 	0.350000%, 	0.581089%
2020-04-08 18:39:13, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079258, 	97.13944, 	0.936183%, 	0.350000%, 	0.586183%
2020-04-08 18:39:28, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079246, 	132.45751, 	0.951468%, 	0.350000%, 	0.601468%
2020-04-08 18:39:43, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079206, 	80.0, 	1.002449%, 	0.350000%, 	0.652449%
2020-04-08 18:39:58, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.000792, 	97.13944, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-08 18:40:13, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079208, 	252.77078372, 	0.999899%, 	0.350000%, 	0.649899%
2020-04-08 18:40:28, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079203, 	98.72216, 	1.006275%, 	0.350000%, 	0.656275%
2020-04-08 18:40:43, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	0.961, 	0.00079523, 	190.80951999, 	0.599826%, 	0.350000%, 	0.249826%
2020-04-08 18:40:58, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	23.461, 	0.00079413, 	252.48007789, 	0.739174%, 	0.350000%, 	0.389174%
2020-04-08 18:41:13, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	81.925, 	0.00079391, 	420.81002173, 	0.767089%, 	0.350000%, 	0.417089%
2020-04-08 18:41:28, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	81.925, 	0.00079675, 	1166.14898412, 	0.407907%, 	0.350000%, 	0.057907%
2020-04-08 18:41:43, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	76.067, 	0.00079486, 	80.0, 	0.646655%, 	0.350000%, 	0.296655%
2020-04-08 18:41:58, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	76.067, 	0.00079415, 	132.45751, 	0.736637%, 	0.350000%, 	0.386637%
2020-04-08 18:42:13, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	79.291, 	0.00079394, 	80.0, 	0.889236%, 	0.350000%, 	0.539236%
2020-04-08 18:42:28, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	81.925, 	0.00079372, 	350.38100127, 	0.791211%, 	0.350000%, 	0.441211%
2020-04-08 18:42:43, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	81.925, 	0.00079354, 	80.0, 	0.814074%, 	0.350000%, 	0.464074%
2020-04-08 18:42:58, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	81.925, 	0.00079337, 	132.45751, 	0.835676%, 	0.350000%, 	0.485676%
2020-04-08 18:43:13, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	81.925, 	0.00079327, 	98.22756, 	0.848387%, 	0.350000%, 	0.498387%
2020-04-08 18:43:28, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	58.391, 	0.00079344, 	98.72216, 	0.952813%, 	0.350000%, 	0.602813%
2020-04-08 18:43:43, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	23.461, 	0.00079339, 	97.04052, 	0.833134%, 	0.350000%, 	0.483134%
