2020-04-08 18:28:10, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	158942.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:28:25, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	158942.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:28:40, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	458942.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:28:55, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	458942.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:29:10, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	458942.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:29:25, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	458942.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:29:40, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	473910.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:29:55, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	473910.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:30:10, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	446513.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:30:25, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	321478.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:30:40, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	324629.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:30:55, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	324629.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:31:10, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	333228.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:31:25, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	312717.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:31:40, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	318267.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:31:55, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	312717.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:32:10, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	312717.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:32:25, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	309661.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:32:40, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	309661.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:32:55, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	309661.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:33:10, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	309661.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:33:25, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	309661.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:33:40, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	309661.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:33:55, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	309661.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:34:10, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	315216.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:34:25, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	315216.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:34:40, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	315216.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:34:55, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	315216.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:35:10, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	315216.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:35:25, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	315216.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:35:40, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	315216.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:35:55, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	315216.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:36:10, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	315216.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:36:25, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	315216.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:36:40, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	387389.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:36:55, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	393334.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:37:10, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	393334.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:37:25, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	379624.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:37:40, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	388756.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:37:55, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	388756.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:38:10, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	388756.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:38:25, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	388756.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:38:40, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	388756.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:38:55, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	389667.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:39:10, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	387142.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:39:25, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	387142.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
