2020-04-08 19:32:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.669e-05, 	2084.694, 	1.536156%, 	0.510000%, 	1.026156%
2020-04-08 19:32:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.669e-05, 	2084.694, 	1.536156%, 	0.510000%, 	1.026156%
2020-04-08 19:32:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.669e-05, 	2084.694, 	1.536156%, 	0.510000%, 	1.026156%
2020-04-08 19:32:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.669e-05, 	1970.122, 	1.536156%, 	0.510000%, 	1.026156%
2020-04-08 19:33:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.713e-05, 	755.34218425, 	2.674e-05, 	6080.615, 	1.458489%, 	0.510000%, 	0.948489%
2020-04-08 19:33:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.713e-05, 	755.34218425, 	2.674e-05, 	2000.74, 	1.458489%, 	0.510000%, 	0.948489%
2020-04-08 19:33:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.713e-05, 	755.34218425, 	2.674e-05, 	2000.74, 	1.458489%, 	0.510000%, 	0.948489%
2020-04-08 19:33:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.674e-05, 	2000.74, 	1.346298%, 	0.510000%, 	0.836298%
2020-04-08 19:34:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.674e-05, 	2000.74, 	1.346298%, 	0.510000%, 	0.836298%
2020-04-08 19:34:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.674e-05, 	2000.74, 	1.346298%, 	0.510000%, 	0.836298%
2020-04-08 19:34:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.674e-05, 	2000.74, 	1.346298%, 	0.510000%, 	0.836298%
2020-04-08 19:34:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.674e-05, 	2000.74, 	1.346298%, 	0.510000%, 	0.836298%
2020-04-08 19:35:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.674e-05, 	2000.74, 	1.346298%, 	0.510000%, 	0.836298%
2020-04-08 19:35:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.674e-05, 	2000.74, 	1.346298%, 	0.510000%, 	0.836298%
2020-04-08 19:35:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.674e-05, 	2000.74, 	1.346298%, 	0.510000%, 	0.836298%
2020-04-08 19:35:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.674e-05, 	2000.74, 	1.346298%, 	0.510000%, 	0.836298%
2020-04-08 19:36:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.674e-05, 	2000.74, 	1.346298%, 	0.510000%, 	0.836298%
2020-04-08 19:36:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.674e-05, 	2000.74, 	1.346298%, 	0.510000%, 	0.836298%
2020-04-08 19:36:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.674e-05, 	2000.74, 	1.346298%, 	0.510000%, 	0.836298%
2020-04-08 19:36:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	802.00032101, 	2.674e-05, 	2000.74, 	1.346298%, 	0.510000%, 	0.836298%
