2020-04-07 22:51:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33353, 	0.439, 	0.329, 	4.417, 	1.376900%, 	0.250000%, 	1.126900%
2020-04-07 22:52:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33364, 	2.884, 	0.329, 	1.712, 	1.410334%, 	0.250000%, 	1.160334%
2020-04-07 22:52:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33366, 	0.14, 	0.329, 	1.712, 	1.416413%, 	0.250000%, 	1.166413%
2020-04-07 22:53:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33366, 	0.14, 	0.329, 	1.172, 	1.416413%, 	0.250000%, 	1.166413%
2020-04-07 22:53:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33366, 	0.14, 	0.329, 	1.172, 	1.416413%, 	0.250000%, 	1.166413%
2020-04-07 22:54:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33366, 	0.14, 	0.329, 	1.172, 	1.416413%, 	0.250000%, 	1.166413%
2020-04-07 22:54:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33366, 	0.14, 	0.329, 	1.712, 	1.416413%, 	0.250000%, 	1.166413%
2020-04-07 22:55:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33353, 	0.439, 	0.329, 	1.712, 	1.376900%, 	0.250000%, 	1.126900%
2020-04-07 22:55:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33366, 	0.042, 	0.329, 	1.605, 	1.416413%, 	0.250000%, 	1.166413%
2020-04-07 22:56:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33366, 	0.042, 	0.329, 	1.605, 	1.416413%, 	0.250000%, 	1.166413%
2020-04-07 22:56:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33368, 	0.03, 	0.329, 	1.174, 	1.422492%, 	0.250000%, 	1.172492%
2020-04-07 22:57:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33368, 	0.03, 	0.329, 	1.174, 	1.422492%, 	0.250000%, 	1.172492%
2020-04-07 22:57:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33368, 	0.03, 	0.329, 	3.243, 	1.422492%, 	0.250000%, 	1.172492%
2020-04-07 22:58:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33368, 	0.03, 	0.329, 	1.172, 	1.422492%, 	0.250000%, 	1.172492%
2020-04-07 22:58:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33368, 	0.03, 	0.329, 	1.172, 	1.422492%, 	0.250000%, 	1.172492%
2020-04-07 22:59:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.3337, 	1.173, 	0.329, 	1.605, 	1.428571%, 	0.250000%, 	1.178571%
2020-04-07 22:59:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33389, 	1.174, 	0.329, 	1.605, 	1.486322%, 	0.250000%, 	1.236322%
2020-04-07 23:00:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33405, 	4.982, 	0.329, 	0.084, 	1.534954%, 	0.250000%, 	1.284954%
2020-04-07 23:00:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.334, 	19.224, 	0.329, 	1.175, 	1.519757%, 	0.250000%, 	1.269757%
2020-04-07 23:01:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33381, 	14.227, 	0.329, 	6.565, 	1.462006%, 	0.250000%, 	1.212006%
2020-04-07 23:01:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33399, 	1.174, 	0.329, 	1.174, 	1.516717%, 	0.250000%, 	1.266717%
2020-04-07 23:02:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33409, 	1.174, 	0.329, 	15.214, 	1.547112%, 	0.250000%, 	1.297112%
2020-04-07 23:02:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33394, 	0.817, 	0.329, 	1.174, 	1.501520%, 	0.250000%, 	1.251520%
2020-04-07 23:03:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33405, 	8.946, 	0.329, 	12.854, 	1.534954%, 	0.250000%, 	1.284954%
