2020-04-07 23:30:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007757, 	17.339, 	0.0076, 	24.734, 	2.065789%, 	0.250000%, 	1.815789%
2020-04-07 23:31:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007757, 	0.437, 	0.0076, 	98.058, 	2.065789%, 	0.250000%, 	1.815789%
2020-04-07 23:31:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007764, 	1.3, 	0.0076, 	1.308, 	2.157895%, 	0.250000%, 	1.907895%
2020-04-07 23:32:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007763, 	1.5, 	0.0076, 	1.5, 	2.144737%, 	0.250000%, 	1.894737%
2020-04-07 23:32:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007758, 	11.64, 	0.0076, 	107.937, 	2.078947%, 	0.250000%, 	1.828947%
2020-04-07 23:33:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.00776, 	10.14, 	0.007592, 	2.953, 	2.212856%, 	0.250000%, 	1.962856%
2020-04-07 23:33:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007763, 	2.897, 	0.007592, 	3.112, 	2.252371%, 	0.250000%, 	2.002371%
2020-04-07 23:34:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007765, 	2.7, 	0.00759, 	0.018, 	2.305665%, 	0.250000%, 	2.055665%
2020-04-07 23:34:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007763, 	1.5, 	0.00759, 	1.5, 	2.279315%, 	0.250000%, 	2.029315%
2020-04-07 23:35:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007762, 	59.804, 	0.00759, 	1.5, 	2.266140%, 	0.250000%, 	2.016140%
2020-04-07 23:35:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007762, 	59.587, 	0.007586, 	1.458, 	2.320063%, 	0.250000%, 	2.070063%
2020-04-07 23:36:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007762, 	57.685, 	0.007584, 	1.458, 	2.347046%, 	0.250000%, 	2.097046%
2020-04-07 23:36:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007764, 	0.666, 	0.007582, 	3.269, 	2.400422%, 	0.250000%, 	2.150422%
2020-04-07 23:37:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007774, 	3.737, 	0.007566, 	1.5, 	2.749141%, 	0.250000%, 	2.499141%
2020-04-07 23:37:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007775, 	1.174, 	0.007566, 	1.5, 	2.762358%, 	0.250000%, 	2.512358%
2020-04-07 23:38:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007776, 	1.5, 	0.007566, 	1.5, 	2.775575%, 	0.250000%, 	2.525575%
2020-04-07 23:38:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007773, 	2.452, 	0.007566, 	1.5, 	2.735924%, 	0.250000%, 	2.485924%
2020-04-07 23:39:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007777, 	2.258, 	0.007566, 	4.34, 	2.788792%, 	0.250000%, 	2.538792%
