2020-04-08 14:07:22, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:07:37, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:07:52, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:08:07, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:08:22, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:08:37, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:08:52, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:09:07, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:09:22, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:09:37, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:09:52, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:10:07, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:10:22, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:10:37, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:10:52, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:11:07, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:11:22, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:11:37, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:11:52, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:12:07, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:12:22, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:12:37, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:12:52, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:13:07, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:13:22, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:13:37, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:13:52, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:14:07, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:14:22, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
