2020-04-10 14:13:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.64, 	3.017, 	126.83, 	488.34405853, 	0.638650%, 	0.460000%, 	0.178650%
2020-04-10 14:13:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.64, 	3.017, 	126.83, 	488.34405853, 	0.638650%, 	0.460000%, 	0.178650%
2020-04-10 14:14:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.67, 	1.17, 	126.83, 	488.34405853, 	0.662304%, 	0.460000%, 	0.202304%
2020-04-10 14:14:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.66, 	6.527, 	126.94, 	0.006181, 	0.567197%, 	0.460000%, 	0.107197%
2020-04-10 14:14:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.68, 	6.06, 	126.94, 	0.006181, 	0.582953%, 	0.460000%, 	0.122953%
2020-04-10 14:14:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.67, 	1.17, 	126.93, 	33.0061, 	0.582999%, 	0.460000%, 	0.122999%
2020-04-10 14:15:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.67, 	1.17, 	126.93, 	30.0061, 	0.582999%, 	0.460000%, 	0.122999%
2020-04-10 14:15:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.67, 	1.17, 	126.96, 	3.0, 	0.559231%, 	0.460000%, 	0.099231%
2020-04-10 14:15:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.67, 	1.17, 	126.89, 	30.996, 	0.614706%, 	0.460000%, 	0.154706%
2020-04-10 14:15:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.67, 	1.17, 	126.88, 	16.0, 	0.622636%, 	0.460000%, 	0.162636%
2020-04-10 14:16:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.67, 	1.17, 	126.83, 	32.996, 	0.662304%, 	0.460000%, 	0.202304%
2020-04-10 14:16:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.66, 	3.017, 	126.82, 	22.0, 	0.662356%, 	0.460000%, 	0.202356%
2020-04-10 14:16:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.66, 	3.017, 	126.82, 	16.0, 	0.662356%, 	0.460000%, 	0.202356%
2020-04-10 14:16:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.66, 	3.017, 	126.82, 	16.0, 	0.662356%, 	0.460000%, 	0.202356%
2020-04-10 14:17:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.48, 	1.171, 	126.71, 	30.996, 	0.607687%, 	0.460000%, 	0.147687%
2020-04-10 14:17:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.56, 	1.171, 	126.71, 	30.996, 	0.670823%, 	0.460000%, 	0.210823%
2020-04-10 14:17:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.57, 	3.017, 	126.71, 	32.996, 	0.678715%, 	0.460000%, 	0.218715%
2020-04-10 14:17:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.57, 	3.017, 	126.71, 	30.996, 	0.678715%, 	0.460000%, 	0.218715%
2020-04-10 14:18:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.59, 	3.587, 	126.71, 	32.996, 	0.694499%, 	0.460000%, 	0.234499%
2020-04-10 14:18:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.59, 	3.587, 	126.71, 	30.391488, 	0.694499%, 	0.460000%, 	0.234499%
2020-04-10 14:18:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.59, 	3.587, 	126.71, 	30.391488, 	0.694499%, 	0.460000%, 	0.234499%
2020-04-10 14:18:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.6, 	1.17, 	126.71, 	30.391488, 	0.702391%, 	0.460000%, 	0.242391%
2020-04-10 14:19:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.62, 	1.17, 	126.84, 	7.22595968, 	0.614948%, 	0.460000%, 	0.154948%
2020-04-10 14:19:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.54, 	1.171, 	126.74, 	3.38995112, 	0.631214%, 	0.460000%, 	0.171214%
2020-04-10 14:19:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.57, 	3.017, 	126.7, 	14.97949946, 	0.686661%, 	0.460000%, 	0.226661%
2020-04-10 14:19:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.57, 	3.017, 	126.7, 	59.98459946, 	0.686661%, 	0.460000%, 	0.226661%
2020-04-10 14:20:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.57, 	3.017, 	126.66, 	14.97949946, 	0.718459%, 	0.460000%, 	0.258459%
2020-04-10 14:20:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.57, 	3.017, 	126.63, 	31.63364634, 	0.742320%, 	0.460000%, 	0.282320%
2020-04-10 14:20:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.57, 	3.017, 	126.63, 	32.22561651, 	0.742320%, 	0.460000%, 	0.282320%
2020-04-10 14:20:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.48, 	0.483, 	126.63, 	131.9303692, 	0.671247%, 	0.460000%, 	0.211247%
