2020-04-09 06:17:55, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001728, 	34.6, 	0.00017199, 	0.36355152, 	0.470958%, 	0.190000%, 	0.280958%
2020-04-09 06:18:10, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001728, 	37.45, 	0.00017199, 	0.36355152, 	0.470958%, 	0.190000%, 	0.280958%
2020-04-09 06:18:25, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001727, 	355.63, 	0.00017199, 	0.36355152, 	0.412815%, 	0.190000%, 	0.222815%
2020-04-09 06:18:40, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001722, 	11.61, 	0.00017199, 	0.36355152, 	0.122100%, 	0.190000%, 	-0.067900%
2020-04-09 07:10:45, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001735, 	1315.14, 	0.00017284, 	86.78546633, 	0.381856%, 	0.190000%, 	0.191856%
2020-04-09 07:11:00, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001735, 	1315.14, 	0.00017284, 	86.78546633, 	0.381856%, 	0.190000%, 	0.191856%
2020-04-09 07:11:15, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001736, 	335.1, 	0.00017284, 	86.78546633, 	0.439713%, 	0.190000%, 	0.249713%
2020-04-09 07:11:30, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001736, 	335.1, 	0.00017284, 	86.78546633, 	0.439713%, 	0.190000%, 	0.249713%
2020-04-09 07:11:45, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001735, 	116.69, 	0.00017284, 	86.78546633, 	0.381856%, 	0.190000%, 	0.191856%
2020-04-09 07:12:00, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001736, 	308.25, 	0.00017284, 	86.78546633, 	0.439713%, 	0.190000%, 	0.249713%
2020-04-09 07:12:15, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001736, 	307.68, 	0.00017284, 	86.78546633, 	0.439713%, 	0.190000%, 	0.249713%
2020-04-09 07:12:30, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001735, 	9.27, 	0.00017284, 	86.78546633, 	0.381856%, 	0.190000%, 	0.191856%
2020-04-09 07:12:45, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001734, 	12.64, 	0.00017284, 	86.78546633, 	0.323999%, 	0.190000%, 	0.133999%
2020-04-09 07:13:00, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001734, 	12.64, 	0.00017284, 	86.78546633, 	0.323999%, 	0.190000%, 	0.133999%
2020-04-09 07:13:15, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001734, 	12.64, 	0.00017284, 	86.78546633, 	0.323999%, 	0.190000%, 	0.133999%
2020-04-09 07:13:30, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001734, 	12.64, 	0.00017284, 	86.78546633, 	0.323999%, 	0.190000%, 	0.133999%
2020-04-09 07:13:45, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001734, 	12.64, 	0.00017284, 	86.78546633, 	0.323999%, 	0.190000%, 	0.133999%
2020-04-09 07:14:00, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001734, 	12.64, 	0.00017284, 	86.78546633, 	0.323999%, 	0.190000%, 	0.133999%
2020-04-09 07:14:15, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001734, 	12.64, 	0.00017284, 	86.78546633, 	0.323999%, 	0.190000%, 	0.133999%
2020-04-09 07:14:30, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001734, 	12.64, 	0.00017284, 	86.78546633, 	0.323999%, 	0.190000%, 	0.133999%
2020-04-09 07:14:45, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001734, 	12.64, 	0.00017284, 	85.89676651, 	0.323999%, 	0.190000%, 	0.133999%
2020-04-09 07:15:00, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001734, 	11.53, 	0.00017284, 	85.89676651, 	0.323999%, 	0.190000%, 	0.133999%
