2020-04-07 22:37:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.87, 	9e-05, 	54.26, 	23.415, 	2.967195%, 	0.250000%, 	2.717195%
2020-04-07 22:38:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.87, 	9e-05, 	54.26, 	28.69344, 	2.967195%, 	0.250000%, 	2.717195%
2020-04-07 22:38:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.86, 	53.56233, 	54.26, 	15.19478, 	2.948765%, 	0.250000%, 	2.698765%
2020-04-07 22:39:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.86, 	51.51331, 	54.26, 	23.0945, 	2.948765%, 	0.250000%, 	2.698765%
2020-04-07 22:39:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.93, 	17.8679, 	54.26, 	42.34227, 	3.077774%, 	0.250000%, 	2.827774%
2020-04-07 22:40:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.89, 	23.05755, 	54.26, 	30.10424, 	3.004055%, 	0.250000%, 	2.754055%
2020-04-07 22:40:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.98, 	17.85828, 	54.26, 	11.17836, 	3.169923%, 	0.250000%, 	2.919923%
2020-04-07 22:41:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.95, 	0.44163, 	54.26, 	21.50006, 	3.114633%, 	0.250000%, 	2.864633%
2020-04-07 22:41:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.99, 	17.85479, 	54.26, 	57.23408, 	3.188352%, 	0.250000%, 	2.938352%
2020-04-07 22:42:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.97, 	17.85714, 	54.26, 	0.00055, 	3.151493%, 	0.250000%, 	2.901493%
2020-04-07 22:42:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.96, 	81.54959, 	54.26, 	45.47247, 	3.133063%, 	0.250000%, 	2.883063%
2020-04-07 22:43:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	56.09, 	5.15479, 	54.53, 	71.07062, 	2.860811%, 	0.250000%, 	2.610811%
2020-04-07 22:43:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	56.14, 	19.94844, 	54.53, 	3.1242, 	2.952503%, 	0.250000%, 	2.702503%
2020-04-07 22:44:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	56.1, 	15.29367, 	54.52, 	15.19478, 	2.898019%, 	0.250000%, 	2.648019%
2020-04-07 22:44:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	56.13, 	23.68622, 	54.52, 	1.2642, 	2.953045%, 	0.250000%, 	2.703045%
2020-04-07 22:45:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	56.13, 	0.0006, 	54.5, 	20.45122, 	2.990826%, 	0.250000%, 	2.740826%
2020-04-07 22:45:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.98, 	4.96714, 	54.5, 	57.32066, 	2.715596%, 	0.250000%, 	2.465596%
2020-04-07 22:46:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.93, 	69.11836, 	54.48, 	25.77139, 	2.661527%, 	0.250000%, 	2.411527%
2020-04-07 22:46:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.9, 	41.91196, 	54.46, 	21.21615, 	2.644142%, 	0.250000%, 	2.394142%
2020-04-07 22:47:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	56.01, 	5.90681, 	54.46, 	6.53045, 	2.846126%, 	0.250000%, 	2.596126%
2020-04-07 22:47:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.98, 	35.57, 	54.45, 	24.78867, 	2.809917%, 	0.250000%, 	2.559917%
2020-04-07 22:48:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.97, 	4.70954, 	54.42, 	0.56945, 	2.848218%, 	0.250000%, 	2.598218%
2020-04-07 22:48:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.99, 	0.41122, 	54.41, 	6.5, 	2.903878%, 	0.250000%, 	2.653878%
