2020-04-08 18:56:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03416, 	1.954, 	0.033905, 	5.21, 	0.752101%, 	0.360000%, 	0.392101%
2020-04-08 18:56:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034164, 	1.954, 	0.033905, 	5.21, 	0.763899%, 	0.360000%, 	0.403899%
2020-04-08 18:57:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034165, 	59.081, 	0.033905, 	5.21, 	0.766849%, 	0.360000%, 	0.406849%
2020-04-08 18:57:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034167, 	57.078, 	0.033905, 	5.21, 	0.772747%, 	0.360000%, 	0.412747%
2020-04-08 18:57:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034168, 	59.076, 	0.033903, 	5.19, 	0.781642%, 	0.360000%, 	0.421642%
2020-04-08 18:57:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034169, 	1.953, 	0.033904, 	5.19, 	0.781619%, 	0.360000%, 	0.421619%
2020-04-08 18:58:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034171, 	1.954, 	0.033906, 	126.66, 	0.781573%, 	0.360000%, 	0.421573%
2020-04-08 18:58:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034177, 	1.954, 	0.033906, 	126.66, 	0.799269%, 	0.360000%, 	0.439269%
2020-04-08 18:58:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034158, 	1.953, 	0.033906, 	126.66, 	0.743231%, 	0.360000%, 	0.383231%
2020-04-08 18:58:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034165, 	1.953, 	0.033906, 	126.66, 	0.763877%, 	0.360000%, 	0.403877%
2020-04-08 18:59:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034175, 	1.026, 	0.033906, 	126.66, 	0.793370%, 	0.360000%, 	0.433370%
2020-04-08 18:59:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034186, 	60.996, 	0.033903, 	21.21, 	0.834734%, 	0.360000%, 	0.474734%
2020-04-08 18:59:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034186, 	60.996, 	0.033902, 	126.61, 	0.837709%, 	0.360000%, 	0.477709%
2020-04-08 18:59:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034186, 	60.996, 	0.033901, 	5.19, 	0.840683%, 	0.360000%, 	0.480683%
2020-04-08 19:00:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034187, 	53.149, 	0.033899, 	5.19, 	0.849583%, 	0.360000%, 	0.489583%
2020-04-08 19:00:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033897, 	5.19, 	0.767030%, 	0.360000%, 	0.407030%
2020-04-08 19:00:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033897, 	5.19, 	0.767030%, 	0.360000%, 	0.407030%
2020-04-08 19:00:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033897, 	5.19, 	0.767030%, 	0.360000%, 	0.407030%
2020-04-08 19:01:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033897, 	5.19, 	0.767030%, 	0.360000%, 	0.407030%
2020-04-08 19:01:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033893, 	21.35, 	0.778922%, 	0.360000%, 	0.418922%
2020-04-08 19:01:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033893, 	26.54, 	0.778922%, 	0.360000%, 	0.418922%
2020-04-08 19:01:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033893, 	26.54, 	0.778922%, 	0.360000%, 	0.418922%
2020-04-08 19:02:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033893, 	26.54, 	0.778922%, 	0.360000%, 	0.418922%
2020-04-08 19:02:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033894, 	5.19, 	0.775949%, 	0.360000%, 	0.415949%
2020-04-08 19:02:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033892, 	5.2, 	0.781895%, 	0.360000%, 	0.421895%
2020-04-08 19:02:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03389, 	5.2, 	0.787843%, 	0.360000%, 	0.427843%
2020-04-08 19:03:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033888, 	5.2, 	0.793791%, 	0.360000%, 	0.433791%
2020-04-08 19:03:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033894, 	5.2, 	0.775949%, 	0.360000%, 	0.415949%
2020-04-08 19:03:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034158, 	59.093, 	0.033897, 	5.2, 	0.769980%, 	0.360000%, 	0.409980%
2020-04-08 19:03:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03416, 	59.09, 	0.033895, 	5.2, 	0.781826%, 	0.360000%, 	0.421826%
2020-04-08 19:04:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03416, 	59.09, 	0.033893, 	5.2, 	0.787773%, 	0.360000%, 	0.427773%
2020-04-08 19:04:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034174, 	59.066, 	0.033893, 	5.2, 	0.829080%, 	0.360000%, 	0.469080%
2020-04-08 19:04:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034176, 	59.062, 	0.033891, 	5.2, 	0.840931%, 	0.360000%, 	0.480931%
2020-04-08 19:04:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034176, 	59.062, 	0.033891, 	5.2, 	0.840931%, 	0.360000%, 	0.480931%
2020-04-08 19:05:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034188, 	59.041, 	0.033899, 	1.2, 	0.852533%, 	0.360000%, 	0.492533%
2020-04-08 19:05:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03421, 	59.003, 	0.033899, 	1.2, 	0.917431%, 	0.360000%, 	0.557431%
