2020-04-07 22:35:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.334, 	0.25208776, 	0.329, 	61.631307, 	1.519757%, 	0.400000%, 	1.119757%
2020-04-07 22:36:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.334, 	0.25208776, 	0.329, 	4.87384719, 	1.519757%, 	0.400000%, 	1.119757%
2020-04-07 22:36:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.334, 	0.25208776, 	0.329, 	53.262647, 	1.519757%, 	0.400000%, 	1.119757%
2020-04-07 22:37:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.334, 	0.25208776, 	0.329, 	27.725284, 	1.519757%, 	0.400000%, 	1.119757%
2020-04-07 22:37:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.334, 	0.25208776, 	0.329, 	4.471, 	1.519757%, 	0.400000%, 	1.119757%
2020-04-07 22:38:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.334, 	0.25208776, 	0.329, 	4.47, 	1.519757%, 	0.400000%, 	1.119757%
2020-04-07 22:38:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.334, 	0.25208776, 	0.329, 	4.474, 	1.519757%, 	0.400000%, 	1.119757%
2020-04-07 22:39:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33401663, 	4.469, 	0.329, 	4.474, 	1.524812%, 	0.400000%, 	1.124812%
2020-04-07 22:39:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33429774, 	57.618768, 	0.329, 	4.474, 	1.610255%, 	0.400000%, 	1.210255%
2020-04-07 22:40:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.3343064, 	28.1052, 	0.329, 	4.474, 	1.612888%, 	0.400000%, 	1.212888%
2020-04-07 22:40:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33430639, 	4.467, 	0.329, 	4.465, 	1.612884%, 	0.400000%, 	1.212884%
2020-04-07 22:41:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.334, 	0.25208776, 	0.329, 	4.464, 	1.519757%, 	0.400000%, 	1.119757%
2020-04-07 22:41:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.334, 	0.25208776, 	0.329, 	4.462, 	1.519757%, 	0.400000%, 	1.119757%
2020-04-07 22:42:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.334, 	0.25208776, 	0.329, 	4.462, 	1.519757%, 	0.400000%, 	1.119757%
2020-04-07 22:42:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.334, 	0.25208776, 	0.329, 	4.462, 	1.519757%, 	0.400000%, 	1.119757%
2020-04-07 22:43:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33322961, 	4.463, 	0.329, 	4.462, 	1.285596%, 	0.400000%, 	0.885596%
