2020-04-08 10:45:58, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:46:13, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:46:28, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:46:43, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:46:58, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:47:13, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:47:28, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:47:43, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:47:58, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:48:13, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:48:28, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.86e-06, 	349.5, 	0.777202%, 	0.350000%, 	0.427202%
2020-04-08 10:48:43, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.86e-06, 	349.5, 	0.777202%, 	0.350000%, 	0.427202%
2020-04-08 10:48:58, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
2020-04-08 10:49:13, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.87e-06, 	349.5, 	0.516796%, 	0.350000%, 	0.166796%
