2020-04-08 22:05:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:05:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:05:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:06:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:06:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:06:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	3269.6, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:06:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	3269.6, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:07:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	3269.6, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:07:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	3269.6, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:07:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	3269.6, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:07:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	3269.6, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:08:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	3269.6, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:08:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	3269.6, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:08:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	3269.6, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:08:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	3269.6, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:09:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	3269.6, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:09:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	3269.6, 	0.286533%, 	0.250000%, 	0.036533%
