2020-04-09 00:51:28, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.902e-05, 	219.0, 	3.893e-05, 	4.99625, 	0.231184%, 	0.190000%, 	0.041184%
2020-04-09 00:51:43, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	696.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:51:58, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	6.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:52:13, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	6.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:52:28, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	601.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:52:43, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	601.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:52:58, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	601.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:53:13, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	6.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:53:29, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	6.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:53:44, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	6.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:53:59, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	6.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:54:14, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	6.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:54:29, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.905e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.308246%, 	0.190000%, 	0.118246%
2020-04-09 00:54:44, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.905e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.308246%, 	0.190000%, 	0.118246%
2020-04-09 00:54:59, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.905e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.308246%, 	0.190000%, 	0.118246%
2020-04-09 00:55:14, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.905e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.308246%, 	0.190000%, 	0.118246%
2020-04-09 00:55:29, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.905e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.308246%, 	0.190000%, 	0.118246%
2020-04-09 00:55:44, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.905e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.308246%, 	0.190000%, 	0.118246%
2020-04-09 00:55:59, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.905e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.308246%, 	0.190000%, 	0.118246%
2020-04-09 00:56:14, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.905e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.308246%, 	0.190000%, 	0.118246%
2020-04-09 00:56:29, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.906e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.333933%, 	0.190000%, 	0.143933%
2020-04-09 00:56:44, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.906e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.333933%, 	0.190000%, 	0.143933%
2020-04-09 00:56:59, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.906e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.333933%, 	0.190000%, 	0.143933%
2020-04-09 00:57:14, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.906e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.333933%, 	0.190000%, 	0.143933%
2020-04-09 00:57:29, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.906e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.333933%, 	0.190000%, 	0.143933%
2020-04-09 00:57:44, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.906e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.333933%, 	0.190000%, 	0.143933%
2020-04-09 00:57:59, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.906e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.333933%, 	0.190000%, 	0.143933%
2020-04-09 00:58:14, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.906e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.333933%, 	0.190000%, 	0.143933%
2020-04-09 00:58:29, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.906e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.333933%, 	0.190000%, 	0.143933%
2020-04-09 00:58:44, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.906e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.333933%, 	0.190000%, 	0.143933%
2020-04-09 00:58:59, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.906e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.333933%, 	0.190000%, 	0.143933%
2020-04-09 00:59:14, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.906e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.333933%, 	0.190000%, 	0.143933%
2020-04-09 00:59:29, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.906e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.333933%, 	0.190000%, 	0.143933%
2020-04-09 00:59:44, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.906e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.333933%, 	0.190000%, 	0.143933%
2020-04-09 00:59:59, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.906e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.333933%, 	0.190000%, 	0.143933%
2020-04-09 01:00:14, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.906e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.333933%, 	0.190000%, 	0.143933%
2020-04-09 01:00:29, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.906e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.333933%, 	0.190000%, 	0.143933%
2020-04-09 01:00:44, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.906e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.333933%, 	0.190000%, 	0.143933%
2020-04-09 01:00:59, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.907e-05, 	595.0, 	3.893e-05, 	4.99625, 	0.359620%, 	0.190000%, 	0.169620%
2020-04-09 01:01:14, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.906e-05, 	3.0, 	3.893e-05, 	4.99625, 	0.333933%, 	0.190000%, 	0.143933%
2020-04-09 01:01:29, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.908e-05, 	60.0, 	3.893e-05, 	4.99625, 	0.385307%, 	0.190000%, 	0.195307%
