2020-04-08 14:21:28, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	45.06583602, 	155.21, 	17.46, 	0.844018%, 	0.600000%, 	0.244018%
2020-04-08 14:21:43, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	22.53627592, 	155.21, 	17.46, 	0.844018%, 	0.600000%, 	0.244018%
2020-04-08 14:21:58, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	0.1, 	155.21, 	17.46, 	0.844018%, 	0.600000%, 	0.244018%
2020-04-08 14:22:13, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	22.63531687, 	155.21, 	17.46, 	0.844018%, 	0.600000%, 	0.244018%
2020-04-08 14:22:28, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	0.1, 	155.21, 	102.46, 	0.844018%, 	0.600000%, 	0.244018%
2020-04-08 14:22:43, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	0.1, 	155.21, 	17.46, 	0.844018%, 	0.600000%, 	0.244018%
2020-04-08 14:22:58, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	15.1, 	155.21, 	80.75, 	0.844018%, 	0.600000%, 	0.244018%
2020-04-08 14:23:13, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	15.1, 	155.21, 	98.21, 	0.844018%, 	0.600000%, 	0.244018%
2020-04-08 14:23:28, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	15.1, 	155.21, 	97.06726961, 	0.844018%, 	0.600000%, 	0.244018%
2020-04-08 14:23:43, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	15.1, 	155.21, 	236.55079613, 	0.844018%, 	0.600000%, 	0.244018%
2020-04-08 14:23:58, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	15.1, 	155.21, 	132.28479613, 	0.844018%, 	0.600000%, 	0.244018%
2020-04-08 14:24:13, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	15.1, 	155.21, 	10.15079613, 	0.844018%, 	0.600000%, 	0.244018%
2020-04-08 14:24:28, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	15.0, 	155.21, 	10.15079613, 	0.844018%, 	0.600000%, 	0.244018%
2020-04-08 14:24:43, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	15.0, 	155.22, 	161.5, 	0.837521%, 	0.600000%, 	0.237521%
2020-04-08 14:24:58, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	15.0, 	155.22, 	76.5, 	0.837521%, 	0.600000%, 	0.237521%
2020-04-08 14:25:13, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	16.62070989, 	155.22, 	76.29116629, 	0.837521%, 	0.600000%, 	0.237521%
2020-04-08 14:25:28, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	16.62070989, 	155.22, 	75.36652779, 	0.837521%, 	0.600000%, 	0.237521%
2020-04-08 14:25:43, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	25.25330687, 	155.22, 	0.00652779, 	0.837521%, 	0.600000%, 	0.237521%
2020-04-08 14:25:58, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	1.9, 	155.38, 	102.46, 	0.733685%, 	0.600000%, 	0.133685%
2020-04-08 14:26:13, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	14.82070989, 	155.33, 	24.0, 	0.766111%, 	0.600000%, 	0.166111%
2020-04-08 14:26:28, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	4.82068106, 	155.33, 	93.0, 	0.766111%, 	0.600000%, 	0.166111%
2020-04-08 14:26:43, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	44.1557442, 	155.28, 	85.0, 	0.798557%, 	0.600000%, 	0.198557%
2020-04-08 14:26:58, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	23.8778721, 	155.28, 	79.03515193, 	0.798557%, 	0.600000%, 	0.198557%
2020-04-08 14:27:13, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	1.8, 	155.28, 	79.03515193, 	0.798557%, 	0.600000%, 	0.198557%
2020-04-08 14:27:28, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	44.56487803, 	155.28, 	75.63388163, 	0.798557%, 	0.600000%, 	0.198557%
2020-04-08 14:27:43, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	27.16193224, 	155.28, 	75.63388163, 	0.798557%, 	0.600000%, 	0.198557%
2020-04-08 14:27:58, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	3.22512606, 	155.28, 	75.63388163, 	0.798557%, 	0.600000%, 	0.198557%
2020-04-08 14:28:13, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	3.22512606, 	155.22, 	114.4, 	0.837521%, 	0.600000%, 	0.237521%
2020-04-08 14:28:28, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	3.22512606, 	155.22, 	75.82044423, 	0.837521%, 	0.600000%, 	0.237521%
2020-04-08 14:28:43, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	39.5432471, 	155.21, 	55.0, 	0.844018%, 	0.600000%, 	0.244018%
2020-04-08 14:28:58, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	20.96318296, 	155.2, 	2.38311882, 	0.850515%, 	0.600000%, 	0.250515%
2020-04-08 14:29:13, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	2.97644902, 	155.16, 	2.38311882, 	0.876515%, 	0.600000%, 	0.276515%
2020-04-08 14:29:28, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	2.97644902, 	155.16, 	12.4, 	0.876515%, 	0.600000%, 	0.276515%
2020-04-08 14:29:43, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.0, 	2.97644902, 	155.14, 	16.18311882, 	0.554338%, 	0.600000%, 	-0.045662%
2020-04-08 17:01:10, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	157.0, 	8.60136, 	155.73, 	25.0, 	0.815514%, 	0.600000%, 	0.215514%
2020-04-08 17:01:25, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.63, 	0.06385, 	155.58, 	104.1, 	0.674894%, 	0.600000%, 	0.074894%
2020-04-08 17:01:40, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.63, 	0.06385, 	155.55, 	9.6, 	0.694311%, 	0.600000%, 	0.094311%
2020-04-08 17:01:55, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.63, 	0.06385, 	155.64, 	24.0, 	0.636083%, 	0.600000%, 	0.036083%
2020-04-08 17:02:10, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.63, 	0.06385, 	155.88, 	2.308, 	0.481139%, 	0.600000%, 	-0.118861%
2020-04-08 17:55:59, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	158.2, 	0.22123, 	157.18, 	3.22875404, 	0.648938%, 	0.600000%, 	0.048938%
2020-04-08 17:56:14, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	158.2, 	0.22123, 	157.16, 	17.27219464, 	0.661746%, 	0.600000%, 	0.061746%
2020-04-08 17:56:29, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	158.2, 	0.22123, 	157.07, 	17.21366351, 	0.719424%, 	0.600000%, 	0.119424%
2020-04-08 17:56:44, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	157.64, 	0.20579, 	156.9, 	16.51218267, 	0.471638%, 	0.600000%, 	-0.128362%
2020-04-08 20:19:04, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	158.5, 	0.15515, 	157.35, 	9.3964213, 	0.730855%, 	0.600000%, 	0.130855%
2020-04-08 20:19:19, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	158.5, 	0.15515, 	157.29, 	2.8594182, 	0.769280%, 	0.600000%, 	0.169280%
2020-04-08 20:19:34, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	158.2, 	0.20506, 	157.02, 	11.3, 	0.751497%, 	0.600000%, 	0.151497%
2020-04-08 20:19:49, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	158.2, 	0.20506, 	157.14, 	10.2, 	0.674558%, 	0.600000%, 	0.074558%
2020-04-08 20:20:04, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	158.2, 	0.20506, 	157.17, 	27.86, 	0.655341%, 	0.600000%, 	0.055341%
2020-04-08 20:20:19, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	158.2, 	0.20506, 	157.15, 	18.89850448, 	0.668151%, 	0.600000%, 	0.068151%
2020-04-08 20:20:34, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	157.64, 	0.20579, 	156.87, 	17.46, 	0.490852%, 	0.600000%, 	-0.109148%
2020-04-09 02:34:39, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	159.34, 	10.69452, 	158.3, 	33.52972727, 	0.656980%, 	0.600000%, 	0.056980%
2020-04-09 02:34:54, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	159.34, 	10.69452, 	158.24, 	10.02265801, 	0.695147%, 	0.600000%, 	0.095147%
2020-04-09 02:35:09, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	159.34, 	10.69452, 	158.18, 	9.85609276, 	0.733342%, 	0.600000%, 	0.133342%
2020-04-09 02:35:24, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	159.34, 	10.69452, 	158.21, 	0.475, 	0.714241%, 	0.600000%, 	0.114241%
2020-04-09 02:35:39, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	159.34, 	10.69452, 	158.35, 	33.33732546, 	0.625197%, 	0.600000%, 	0.025197%
2020-04-09 02:35:54, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	159.34, 	10.69452, 	158.23, 	0.475, 	0.701510%, 	0.600000%, 	0.101510%
2020-04-09 02:36:09, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	159.34, 	10.69452, 	158.21, 	9.84551172, 	0.714241%, 	0.600000%, 	0.114241%
2020-04-09 02:36:24, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	159.34, 	10.69452, 	158.21, 	9.84551172, 	0.714241%, 	0.600000%, 	0.114241%
