2020-04-10 10:26:50, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.766e-05, 	2.0, 	0.738989%, 	0.190000%, 	0.548989%
2020-04-10 10:27:05, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.766e-05, 	2.0, 	0.738989%, 	0.190000%, 	0.548989%
2020-04-10 10:27:20, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.766e-05, 	2.0, 	0.738989%, 	0.190000%, 	0.548989%
2020-04-10 10:27:35, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.767e-05, 	329.0, 	0.724102%, 	0.190000%, 	0.534102%
2020-04-10 10:27:50, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	300.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:28:05, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	300.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:28:20, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	300.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:28:35, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	300.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:28:50, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	300.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:29:05, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	300.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:29:20, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	300.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:29:35, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	300.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:29:50, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	300.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:30:05, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	300.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:30:20, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	300.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:30:35, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	300.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:30:50, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	300.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:31:05, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	300.0, 	0.590319%, 	0.190000%, 	0.400319%
2020-04-10 10:31:20, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.776e-05, 	273.0, 	0.590319%, 	0.190000%, 	0.400319%
