2020-04-08 19:03:50, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.83, 	100.0, 	5.7753, 	80.0, 	0.947137%, 	0.460000%, 	0.487137%
2020-04-08 19:04:05, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.831, 	60.473, 	5.7774, 	80.0, 	0.927753%, 	0.460000%, 	0.467753%
2020-04-08 19:04:20, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.835, 	60.431, 	5.7791, 	30.106366, 	0.967279%, 	0.460000%, 	0.507279%
2020-04-08 19:04:35, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.835, 	60.431, 	5.7791, 	30.106366, 	0.967279%, 	0.460000%, 	0.507279%
2020-04-08 19:04:50, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.835, 	60.431, 	5.7791, 	30.106366, 	0.967279%, 	0.460000%, 	0.507279%
2020-04-08 19:05:05, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.835, 	60.431, 	5.7791, 	30.106366, 	0.967279%, 	0.460000%, 	0.507279%
2020-04-08 19:05:20, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.845, 	60.328, 	5.7857, 	60.75227747, 	1.024941%, 	0.460000%, 	0.564941%
2020-04-08 19:05:35, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.846, 	60.317, 	5.7803, 	30.13667441, 	1.136619%, 	0.460000%, 	0.676619%
2020-04-08 19:05:50, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.846, 	10.272, 	5.7798, 	78.38068626, 	1.145368%, 	0.460000%, 	0.685368%
2020-04-08 19:06:05, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.846, 	10.272, 	5.7785, 	30.1447146, 	1.168123%, 	0.460000%, 	0.708123%
