2020-04-10 04:52:17, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.05914245, 	0.00234, 	34.5539278, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:52:32, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.07629247, 	0.00234, 	34.5539278, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:52:47, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.09345694, 	0.00234, 	34.5539278, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:53:02, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.12782925, 	0.00234, 	34.5539278, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:53:17, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.16225955, 	0.00234, 	34.5539278, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:53:32, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.17949648, 	0.00234, 	34.5539278, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:53:47, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.21401401, 	0.00234, 	34.5539278, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:54:02, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.21401401, 	0.00234, 	34.5539278, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:54:17, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.21401401, 	0.00234, 	34.5539278, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:54:32, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.21401401, 	0.00234, 	34.5539278, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:54:47, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.21401401, 	0.00234, 	34.5539278, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:55:02, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.21401401, 	0.00234, 	34.5539278, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:55:17, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.21401401, 	0.00234, 	34.5539278, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:55:32, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.21401401, 	0.00234, 	34.5539278, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:55:47, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.21401401, 	0.00234, 	34.5539278, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:56:02, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.21401401, 	0.00234, 	34.5539278, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:56:17, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.21401401, 	0.00234, 	34.5539278, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:56:32, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.21401401, 	0.00234, 	34.5539278, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:56:47, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.21401401, 	0.00234, 	34.5539278, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:57:02, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.21401401, 	0.00234, 	33.45366832, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:57:17, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.1333342, 	0.00234, 	33.45366832, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:57:32, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.17199663, 	0.00234, 	33.45366832, 	0.479487%, 	0.340000%, 	0.139487%
