2020-04-09 03:43:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	309.45, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:43:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	309.45, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:43:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	309.45, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:43:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	309.45, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:44:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	281.83, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:44:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	281.83, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:44:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	281.83, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:44:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	624.82, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:45:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	244.08, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:45:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	244.08, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:45:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	244.08, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:45:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	244.08, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:46:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	244.08, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:46:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1558.93, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:46:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1558.93, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:46:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1558.93, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:47:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1558.93, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:47:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1555.14, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:47:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1555.14, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:47:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1555.14, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:48:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1555.14, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:48:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	1555.14, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
