2020-04-09 09:46:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	7408.48, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:47:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	7408.48, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:47:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	7357.88, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:47:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	4289.38, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:47:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	4289.38, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:48:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	3288.38, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:48:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	3288.38, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:48:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	3288.38, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:48:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	2813.64, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:49:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	2813.64, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:49:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	2800.05, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:49:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	2800.05, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:49:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	2800.05, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:50:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	2800.05, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:50:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	2800.05, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:50:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	2800.05, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:50:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	2757.09, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:51:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	2757.09, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:51:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	2663.09, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:51:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	45680.25, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:51:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	45645.76, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:52:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	45645.76, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:52:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	45645.76, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:52:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	45625.81, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:52:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	45625.81, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:53:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	45625.81, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:53:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	45625.81, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 09:53:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	8085.04, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 10:16:25, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	1450.0, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 10:16:40, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	1450.0, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 10:16:55, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	1450.0, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 10:17:10, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	1450.0, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 10:17:25, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	1450.0, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 10:17:40, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	1450.0, 	0.208286%, 	0.190000%, 	0.018286%
2020-04-09 10:17:55, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9987, 	1450.0, 	0.208286%, 	0.190000%, 	0.018286%
