2020-04-07 21:16:07, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	3309.0, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:16:37, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	10942.58778625, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:17:07, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	3309.0, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:17:37, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	7125.79389313, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:41:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	14847.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:42:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	14847.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:42:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	14847.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:43:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	14847.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:43:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	14847.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:44:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	14847.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:44:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	14847.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:45:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	14847.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:45:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	14847.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:46:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	14847.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:46:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	14847.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:47:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	14847.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:47:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	14847.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:48:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	14847.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:48:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	14847.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:49:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	14847.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:49:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	14847.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:50:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	14847.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:50:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	14847.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:51:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	14847.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:51:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	14847.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:52:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:52:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:53:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:53:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:54:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:54:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:55:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:55:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:56:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:56:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:57:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:57:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:58:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:58:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:59:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:59:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 22:00:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 22:00:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 22:01:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 22:01:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 22:02:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 22:02:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 22:03:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 22:03:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 22:04:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	15863.38167938, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 22:04:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	10000.0, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 22:05:19, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	10503.0, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 22:05:49, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	10504.0, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
