2020-04-10 09:19:18, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2154.84, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:19:33, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2154.84, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:19:48, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.89e-05, 	82.76, 	0.626109%, 	0.360000%, 	0.266109%
2020-04-10 09:20:03, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	1882.15, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:20:18, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	1882.15, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:20:33, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	1882.15, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:20:48, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2154.84, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:21:03, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2154.84, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:21:18, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2245.74, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:21:33, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2245.74, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:21:48, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2245.74, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:22:03, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2245.74, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:22:18, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2245.74, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:22:33, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2245.74, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:22:48, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2245.74, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:23:03, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2245.74, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:23:18, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2245.74, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:23:33, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2245.74, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:23:48, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2245.74, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:24:04, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2245.74, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:24:19, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2064.04, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:24:34, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2064.04, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:24:49, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2064.04, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:25:04, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	1882.15, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:25:19, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2064.04, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:25:34, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2064.04, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:25:49, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2064.04, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:26:04, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2064.04, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:26:19, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2064.04, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:26:34, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2064.04, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:26:49, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2064.04, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:27:04, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2064.04, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:27:19, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2064.04, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:27:34, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2154.84, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:27:49, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2154.84, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:28:04, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2154.84, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:28:19, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	2154.84, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:28:34, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	1882.15, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:28:49, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	1964.61, 	0.498734%, 	0.360000%, 	0.138734%
2020-04-10 09:29:04, 	Kraken      , 	Binance     , 	NANO/BTC, 	7.9394e-05, 	0.001, 	7.9e-05, 	1964.61, 	0.498734%, 	0.360000%, 	0.138734%
