2020-04-09 18:31:24, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016828, 	0.01807776, 	0.000168, 	27.01, 	0.166667%, 	0.190000%, 	-0.023333%
2020-04-10 01:34:02, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001656, 	21.35, 	0.326087%, 	0.190000%, 	0.136087%
2020-04-10 01:34:17, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001656, 	21.35, 	0.326087%, 	0.190000%, 	0.136087%
2020-04-10 01:34:32, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001656, 	21.35, 	0.326087%, 	0.190000%, 	0.136087%
2020-04-10 01:34:47, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001656, 	21.35, 	0.326087%, 	0.190000%, 	0.136087%
2020-04-10 01:35:02, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001656, 	21.35, 	0.326087%, 	0.190000%, 	0.136087%
2020-04-10 01:35:17, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001656, 	20.16, 	0.326087%, 	0.190000%, 	0.136087%
2020-04-10 01:35:32, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001656, 	20.16, 	0.326087%, 	0.190000%, 	0.136087%
2020-04-10 01:35:47, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001656, 	19.15, 	0.326087%, 	0.190000%, 	0.136087%
2020-04-10 01:36:02, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001656, 	19.15, 	0.326087%, 	0.190000%, 	0.136087%
2020-04-10 01:36:17, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001656, 	10.12, 	0.326087%, 	0.190000%, 	0.136087%
2020-04-10 01:36:32, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001656, 	10.12, 	0.326087%, 	0.190000%, 	0.136087%
2020-04-10 01:36:47, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001656, 	10.12, 	0.326087%, 	0.190000%, 	0.136087%
2020-04-10 01:37:02, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001656, 	10.12, 	0.326087%, 	0.190000%, 	0.136087%
2020-04-10 01:37:17, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001656, 	10.12, 	0.326087%, 	0.190000%, 	0.136087%
2020-04-10 01:37:32, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001656, 	10.12, 	0.326087%, 	0.190000%, 	0.136087%
2020-04-10 01:37:47, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001656, 	10.12, 	0.326087%, 	0.190000%, 	0.136087%
2020-04-10 01:38:02, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001657, 	25.41, 	0.265540%, 	0.190000%, 	0.075540%
2020-04-10 01:38:17, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001657, 	25.41, 	0.265540%, 	0.190000%, 	0.075540%
2020-04-10 01:38:32, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001657, 	25.41, 	0.265540%, 	0.190000%, 	0.075540%
2020-04-10 01:38:47, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001657, 	25.41, 	0.265540%, 	0.190000%, 	0.075540%
2020-04-10 01:39:02, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001657, 	25.41, 	0.265540%, 	0.190000%, 	0.075540%
2020-04-10 01:39:17, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001657, 	25.41, 	0.265540%, 	0.190000%, 	0.075540%
2020-04-10 01:39:32, 	Poloniex    , 	Binance     , 	GAS/BTC, 	0.00016614, 	0.67615591, 	0.0001661, 	68.5, 	0.024082%, 	0.190000%, 	-0.165918%
