2020-04-09 18:29:27, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:29:42, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:29:57, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:30:12, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:30:27, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:30:42, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:30:57, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:31:12, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:31:27, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	25836.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:31:42, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	24909.0, 	0.393701%, 	0.190000%, 	0.203701%
2020-04-09 18:31:57, 	Poloniex    , 	Binance     , 	BTS/BTC, 	2.55e-06, 	262.70545972, 	2.54e-06, 	24909.0, 	0.393701%, 	0.190000%, 	0.203701%
