2020-04-11 11:12:57, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:13:12, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:13:27, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:13:42, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:13:57, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:14:12, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:14:27, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:14:42, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:14:57, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:15:12, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:15:27, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:15:42, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:15:57, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:16:12, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
2020-04-11 11:16:27, 	Poloniex    , 	Bittrex     , 	STEEM/BTC, 	2.27e-05, 	1201.02240771, 	2.261e-05, 	64.008, 	0.398054%, 	0.340000%, 	0.058054%
