2020-04-09 00:09:29, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.72e-05, 	577596.0, 	0.917431%, 	0.190000%, 	0.727431%
2020-04-09 00:09:44, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	163749.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:09:59, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	163749.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:10:14, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	163749.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:10:29, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	163749.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:10:44, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	163749.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:10:59, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	163749.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:11:14, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	163749.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:11:29, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	163749.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:11:44, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	163749.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:11:59, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	163749.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:12:14, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	163749.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:12:29, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	163749.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:12:45, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:13:00, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
2020-04-09 00:13:15, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.73e-05, 	712162.0, 	0.801833%, 	0.190000%, 	0.611833%
2020-04-09 00:13:30, 	Poloniex    , 	Binance     , 	WIN/USDT, 	8.8e-05, 	117045.45454546, 	8.74e-05, 	292747.0, 	0.686499%, 	0.190000%, 	0.496499%
