2020-04-07 21:02:39, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.586e-06, 	1154.01015919, 	2.82e-06, 	28128.37989247, 	98.085106%, 	0.400000%, 	97.685106%
2020-04-07 21:03:09, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.593e-06, 	1154.01015919, 	2.82e-06, 	28128.37989247, 	98.333333%, 	0.400000%, 	97.933333%
2020-04-07 21:03:39, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.423e-06, 	1154.01015919, 	2.82e-06, 	28128.37989247, 	92.304965%, 	0.400000%, 	91.904965%
2020-04-07 21:04:09, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.449e-06, 	1154.01015919, 	2.85e-06, 	11137.98508548, 	91.192982%, 	0.400000%, 	90.792982%
2020-04-07 21:04:39, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.452e-06, 	2506.52074956, 	2.81e-06, 	13470.57109557, 	94.021352%, 	0.400000%, 	93.621352%
2020-04-07 21:05:09, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.47e-06, 	1509.43396226, 	2.78e-06, 	28128.37989247, 	96.762590%, 	0.400000%, 	96.362590%
2020-04-07 21:05:39, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.501e-06, 	127.75762566, 	2.78e-06, 	28128.37989247, 	97.877698%, 	0.400000%, 	97.477698%
2020-04-07 21:07:37, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.39e-06, 	3161.73059163, 	2.77e-06, 	28128.37989247, 	94.584838%, 	0.400000%, 	94.184838%
2020-04-07 21:08:07, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.39e-06, 	3352.0592391, 	2.77e-06, 	28128.37989247, 	94.584838%, 	0.400000%, 	94.184838%
2020-04-07 21:08:37, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.39e-06, 	3352.0592391, 	2.77e-06, 	28128.37989247, 	94.584838%, 	0.400000%, 	94.184838%
2020-04-07 21:09:07, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.39e-06, 	3352.0592391, 	2.77e-06, 	28128.37989247, 	94.584838%, 	0.400000%, 	94.184838%
2020-04-07 21:09:37, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.39e-06, 	3352.0592391, 	2.77e-06, 	28128.37989247, 	94.584838%, 	0.400000%, 	94.184838%
2020-04-07 21:10:07, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.39e-06, 	3352.0592391, 	2.77e-06, 	28128.37989247, 	94.584838%, 	0.400000%, 	94.184838%
2020-04-07 21:10:37, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.39e-06, 	2878.8616367, 	2.72e-06, 	28128.37989247, 	98.161765%, 	0.400000%, 	97.761765%
2020-04-07 21:11:07, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.39e-06, 	2457.15300151, 	2.75e-06, 	13470.57109557, 	96.000000%, 	0.400000%, 	95.600000%
2020-04-07 21:11:37, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.39e-06, 	2457.15300151, 	2.75e-06, 	2161.25563648, 	96.000000%, 	0.400000%, 	95.600000%
2020-04-07 21:12:07, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.39e-06, 	5373.50970592, 	2.75e-06, 	15619.71411941, 	96.000000%, 	0.400000%, 	95.600000%
2020-04-07 21:12:37, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.39e-06, 	5373.50970592, 	2.75e-06, 	15619.71411941, 	96.000000%, 	0.400000%, 	95.600000%
2020-04-07 21:13:07, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.39e-06, 	5373.50970592, 	2.75e-06, 	4218.64972926, 	96.000000%, 	0.400000%, 	95.600000%
2020-04-07 21:13:37, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.39e-06, 	5373.50970592, 	2.97e-06, 	928.57142857, 	81.481481%, 	0.400000%, 	81.081481%
2020-04-07 21:14:07, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.39e-06, 	5373.50970592, 	2.97e-06, 	5147.22115783, 	81.481481%, 	0.400000%, 	81.081481%
2020-04-07 21:14:37, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.39e-06, 	5373.50970592, 	2.97e-06, 	5147.22115783, 	81.481481%, 	0.400000%, 	81.081481%
2020-04-07 21:15:07, 	OKEX        , 	Bittrex     , 	CVT/BTC, 	5.39e-06, 	5373.50970592, 	2.97e-06, 	5147.22115783, 	81.481481%, 	0.400000%, 	81.081481%
