2020-04-07 22:29:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1059408.0, 	6.7e-07, 	46146.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:29:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1059408.0, 	6.7e-07, 	46146.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:30:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1059408.0, 	6.7e-07, 	46146.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:30:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1059408.0, 	6.7e-07, 	46146.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:31:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1059408.0, 	6.7e-07, 	46146.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:31:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1059408.0, 	6.7e-07, 	46146.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:32:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1059202.0, 	6.7e-07, 	46146.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:32:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1059202.0, 	6.7e-07, 	46146.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:33:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1059202.0, 	6.7e-07, 	86734.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:33:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1059202.0, 	6.7e-07, 	86734.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:34:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1059202.0, 	6.7e-07, 	86734.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:34:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1059202.0, 	6.7e-07, 	86734.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:35:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1054094.0, 	6.7e-07, 	86734.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:35:49, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.33e-06, 	1054094.0, 	6.7e-07, 	86734.0, 	98.507463%, 	0.250000%, 	98.257463%
2020-04-07 22:36:19, 	OKEX        , 	Binance     , 	GTO/BTC, 	1.32e-06, 	1054094.0, 	6.7e-07, 	86734.0, 	97.014925%, 	0.250000%, 	96.764925%
