2020-04-07 22:36:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00227118, 	35.44299013, 	0.00225113, 	2.29095224, 	0.890664%, 	0.340000%, 	0.550664%
2020-04-07 22:37:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00227369, 	35.44299013, 	0.00225113, 	2.29095224, 	1.002163%, 	0.340000%, 	0.662163%
2020-04-07 22:37:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00227613, 	35.44299013, 	0.00225113, 	2.29095224, 	1.110553%, 	0.340000%, 	0.770553%
2020-04-07 22:38:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00227664, 	35.44299013, 	0.00225113, 	2.29095224, 	1.133209%, 	0.340000%, 	0.793209%
2020-04-07 22:38:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00227907, 	35.44299013, 	0.00225118, 	580.64893382, 	1.238906%, 	0.340000%, 	0.898906%
2020-04-07 22:39:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00227943, 	35.44299013, 	0.00225118, 	580.64893382, 	1.254897%, 	0.340000%, 	0.914897%
2020-04-07 22:39:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00228138, 	15.0, 	0.00225118, 	579.37270058, 	1.341519%, 	0.340000%, 	1.001519%
2020-04-07 22:40:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00228174, 	15.0, 	0.00225118, 	579.37270058, 	1.357510%, 	0.340000%, 	1.017510%
2020-04-07 22:40:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.0022822, 	15.0, 	0.00225118, 	579.37270058, 	1.377944%, 	0.340000%, 	1.037944%
2020-04-07 22:41:19, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00228253, 	15.0, 	0.00225118, 	579.37270058, 	1.392603%, 	0.340000%, 	1.052603%
2020-04-07 22:41:49, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00225783, 	15.0, 	0.00225118, 	570.4618199, 	0.295401%, 	0.340000%, 	-0.044599%
2020-04-07 22:46:34, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00227408, 	12.0, 	0.00225118, 	538.29949859, 	1.017244%, 	0.340000%, 	0.677244%
2020-04-07 22:47:04, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00227458, 	12.0, 	0.00225118, 	538.29949859, 	1.039455%, 	0.340000%, 	0.699455%
2020-04-07 22:47:34, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00227651, 	12.0, 	0.00225118, 	538.29949859, 	1.125188%, 	0.340000%, 	0.785188%
2020-04-07 22:48:04, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00227685, 	12.0, 	0.00225118, 	538.29949859, 	1.140291%, 	0.340000%, 	0.800291%
2020-04-07 22:48:34, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00227719, 	12.0, 	0.00225118, 	538.29949859, 	1.155394%, 	0.340000%, 	0.815394%
2020-04-07 22:49:04, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00227768, 	12.0, 	0.00225118, 	538.29949859, 	1.177160%, 	0.340000%, 	0.837160%
2020-04-07 22:49:34, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230678, 	12.0, 	0.00225118, 	536.07177842, 	2.469816%, 	0.340000%, 	2.129816%
2020-04-07 22:50:04, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	12.0, 	0.00225118, 	500.03764237, 	2.469372%, 	0.340000%, 	2.129372%
2020-04-07 22:50:34, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	12.0, 	0.00225118, 	500.03764237, 	2.469372%, 	0.340000%, 	2.129372%
2020-04-07 22:51:04, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	12.0, 	0.00225118, 	500.03764237, 	2.469372%, 	0.340000%, 	2.129372%
2020-04-07 22:51:34, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	12.0, 	0.00225118, 	500.03764237, 	2.469372%, 	0.340000%, 	2.129372%
2020-04-07 22:52:04, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	12.0, 	0.00225118, 	500.03764237, 	2.469372%, 	0.340000%, 	2.129372%
2020-04-07 22:52:34, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	12.0, 	0.00225118, 	500.03764237, 	2.469372%, 	0.340000%, 	2.129372%
2020-04-07 22:53:04, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	12.0, 	0.00225118, 	500.03764237, 	2.469372%, 	0.340000%, 	2.129372%
2020-04-07 22:53:34, 	Bittrex     , 	Poloniex    , 	NMR/BTC, 	0.00230677, 	12.0, 	0.00225118, 	500.03764237, 	2.469372%, 	0.340000%, 	2.129372%
