2020-04-07 21:53:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	68350.0, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:53:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	103115.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:54:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	103115.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:54:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	104165.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:55:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	103619.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:55:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	103619.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:56:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	103619.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:56:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	103619.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:57:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	103619.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:57:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	67804.0, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:58:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	103619.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:58:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	67804.0, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:59:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	103619.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 21:59:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	103619.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 22:00:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	103619.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 22:00:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	103619.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 22:01:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	103619.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 22:01:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	103619.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 22:02:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	103619.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 22:02:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	103115.1712, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 22:03:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	113074.33617715, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 22:03:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	77259.16497715, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 22:04:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	113074.33617715, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 22:04:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	113074.33617715, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 22:05:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	77259.16497715, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 22:05:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	113578.33617715, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 22:06:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	77763.16497715, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 22:06:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	77259.16497715, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 22:07:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	113074.33617715, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 22:07:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	113074.33617715, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 22:08:19, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	116129.33617715, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
2020-04-07 22:08:49, 	OKEX        , 	Poloniex    , 	NXT/BTC, 	1.83e-06, 	113074.33617715, 	1.32e-06, 	4062.04327559, 	38.636364%, 	0.240000%, 	38.396364%
