2020-04-08 17:25:58, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:26:13, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:26:28, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:26:43, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:26:58, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:27:13, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:27:28, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:27:43, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:27:58, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:28:13, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:28:28, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:28:43, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:28:58, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:29:13, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:29:28, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:29:43, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:29:58, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:30:13, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:30:28, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:30:43, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:30:58, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:31:13, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:31:28, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:31:43, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.3e-06, 	72.578, 	2.307692%, 	0.400000%, 	1.907692%
2020-04-08 17:31:58, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.31e-06, 	377.151, 	1.526718%, 	0.400000%, 	1.126718%
2020-04-08 17:32:13, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.31e-06, 	377.151, 	1.526718%, 	0.400000%, 	1.126718%
2020-04-08 17:32:28, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.31e-06, 	377.151, 	1.526718%, 	0.400000%, 	1.126718%
2020-04-08 17:32:43, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.31e-06, 	377.151, 	1.526718%, 	0.400000%, 	1.126718%
2020-04-08 17:32:58, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.31e-06, 	377.151, 	1.526718%, 	0.400000%, 	1.126718%
2020-04-08 17:33:13, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.31e-06, 	377.151, 	1.526718%, 	0.400000%, 	1.126718%
2020-04-08 17:33:28, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.31e-06, 	377.151, 	1.526718%, 	0.400000%, 	1.126718%
2020-04-08 17:33:43, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.31e-06, 	377.151, 	1.526718%, 	0.400000%, 	1.126718%
2020-04-08 17:33:58, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.31e-06, 	377.151, 	1.526718%, 	0.400000%, 	1.126718%
2020-04-08 17:34:13, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.31e-06, 	377.151, 	1.526718%, 	0.400000%, 	1.126718%
2020-04-08 17:34:28, 	Bittrex     , 	OKEX        , 	GTO/BTC, 	1.33e-06, 	375.94736842, 	1.31e-06, 	377.151, 	1.526718%, 	0.400000%, 	1.126718%
