2020-04-08 22:46:23, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.875e-05, 	10.0, 	4.829e-05, 	12298.3941509, 	0.952578%, 	0.350000%, 	0.602578%
2020-04-08 22:46:38, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.864e-05, 	333.0, 	4.829e-05, 	12125.3941509, 	0.724788%, 	0.350000%, 	0.374788%
2020-04-08 22:46:53, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.864e-05, 	336.0, 	4.829e-05, 	12125.3941509, 	0.724788%, 	0.350000%, 	0.374788%
2020-04-08 22:47:08, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.864e-05, 	3.0, 	4.829e-05, 	12125.3941509, 	0.724788%, 	0.350000%, 	0.374788%
2020-04-08 22:47:23, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.864e-05, 	3.0, 	4.829e-05, 	12125.3941509, 	0.724788%, 	0.350000%, 	0.374788%
2020-04-08 22:47:38, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.864e-05, 	3.0, 	4.829e-05, 	12125.3941509, 	0.724788%, 	0.350000%, 	0.374788%
2020-04-08 22:47:53, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.864e-05, 	3.0, 	4.829e-05, 	12125.3941509, 	0.724788%, 	0.350000%, 	0.374788%
2020-04-08 22:48:08, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.864e-05, 	3.0, 	4.829e-05, 	12125.3941509, 	0.724788%, 	0.350000%, 	0.374788%
2020-04-08 22:48:23, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.864e-05, 	3.0, 	4.829e-05, 	12125.3941509, 	0.724788%, 	0.350000%, 	0.374788%
2020-04-08 22:48:38, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.864e-05, 	3.0, 	4.829e-05, 	12125.3941509, 	0.724788%, 	0.350000%, 	0.374788%
2020-04-08 22:48:53, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.864e-05, 	3.0, 	4.829e-05, 	12125.3941509, 	0.724788%, 	0.350000%, 	0.374788%
2020-04-08 22:49:08, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.864e-05, 	3.0, 	4.829e-05, 	12125.3941509, 	0.724788%, 	0.350000%, 	0.374788%
2020-04-08 22:49:23, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.864e-05, 	3.0, 	4.828e-05, 	213.24561273, 	0.745650%, 	0.350000%, 	0.395650%
2020-04-08 22:49:38, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.864e-05, 	3.0, 	4.828e-05, 	21.32456129, 	0.745650%, 	0.350000%, 	0.395650%
2020-04-08 22:49:53, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.864e-05, 	3.0, 	4.828e-05, 	21.32456129, 	0.745650%, 	0.350000%, 	0.395650%
2020-04-08 22:50:08, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.864e-05, 	3.0, 	4.828e-05, 	21.32456129, 	0.745650%, 	0.350000%, 	0.395650%
2020-04-08 22:50:23, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.864e-05, 	3.0, 	4.828e-05, 	21.32456129, 	0.745650%, 	0.350000%, 	0.395650%
2020-04-08 22:50:38, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.864e-05, 	3.0, 	4.828e-05, 	21.32456129, 	0.745650%, 	0.350000%, 	0.395650%
2020-04-08 22:50:53, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.861e-05, 	242.0, 	4.828e-05, 	21.32456129, 	0.683513%, 	0.350000%, 	0.333513%
2020-04-08 22:51:08, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	3770.0, 	4.828e-05, 	21.32456129, 	0.662800%, 	0.350000%, 	0.312800%
2020-04-08 22:51:23, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	3770.0, 	4.828e-05, 	21.32456129, 	0.662800%, 	0.350000%, 	0.312800%
2020-04-08 22:51:38, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	3770.0, 	4.828e-05, 	21.32456129, 	0.662800%, 	0.350000%, 	0.312800%
2020-04-08 22:51:53, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	3770.0, 	4.828e-05, 	21.32456129, 	0.662800%, 	0.350000%, 	0.312800%
2020-04-08 22:52:08, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	3770.0, 	4.828e-05, 	21.32456129, 	0.662800%, 	0.350000%, 	0.312800%
2020-04-08 22:52:23, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	3770.0, 	4.828e-05, 	21.32456129, 	0.662800%, 	0.350000%, 	0.312800%
2020-04-08 22:52:38, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	3770.0, 	4.828e-05, 	21.32456129, 	0.662800%, 	0.350000%, 	0.312800%
2020-04-08 22:52:53, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	3770.0, 	4.828e-05, 	21.32456129, 	0.662800%, 	0.350000%, 	0.312800%
2020-04-08 22:53:08, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.861e-05, 	377.0, 	4.828e-05, 	21.32456129, 	0.683513%, 	0.350000%, 	0.333513%
2020-04-08 22:53:23, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.862e-05, 	377.0, 	4.828e-05, 	21.32456129, 	0.704225%, 	0.350000%, 	0.354225%
2020-04-08 22:53:38, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.862e-05, 	377.0, 	4.828e-05, 	21.32456129, 	0.704225%, 	0.350000%, 	0.354225%
2020-04-08 22:53:53, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.862e-05, 	377.0, 	4.828e-05, 	21.32456129, 	0.704225%, 	0.350000%, 	0.354225%
2020-04-08 22:54:08, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.864e-05, 	260.0, 	4.829e-05, 	11194.10309946, 	0.724788%, 	0.350000%, 	0.374788%
2020-04-08 22:54:23, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.865e-05, 	87.0, 	4.829e-05, 	11021.24309946, 	0.745496%, 	0.350000%, 	0.395496%
2020-04-08 22:54:38, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.865e-05, 	87.0, 	4.829e-05, 	11021.24309946, 	0.745496%, 	0.350000%, 	0.395496%
2020-04-08 22:54:53, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.865e-05, 	174.0, 	4.829e-05, 	11021.24309946, 	0.745496%, 	0.350000%, 	0.395496%
